CBSA,NAME,LSAD,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,NPOPCHG2010,NPOPCHG2011,NPOPCHG2012,NPOPCHG2013,NPOPCHG2014,NPOPCHG2015,NPOPCHG2016,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,BIRTHS2015,BIRTHS2016,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,DEATHS2016,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,NATURALINC2014,NATURALINC2015,NATURALINC2016,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,INTERNATIONALMIG2014,INTERNATIONALMIG2015,INTERNATIONALMIG2016,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,DOMESTICMIG2014,DOMESTICMIG2015,DOMESTICMIG2016,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,NETMIG2015,NETMIG2016,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RESIDUAL2014,RESIDUAL2015,RESIDUAL2016
10100,"Aberdeen, SD",Micropolitan Statistical Area,40602,40602,40723,41038,41624,42290,42450,42708,43080,121,315,586,666,160,258,372,135,530,498,573,537,528,532,101,414,441,439,422,398,390,34,116,57,134,115,130,142,13,128,136,134,147,153,152,73,83,382,414,-99,-5,101,86,211,518,548,48,148,253,1,-12,11,-16,-3,-20,-23
10140,"Aberdeen, WA",Micropolitan Statistical Area,72797,72804,72863,72349,71746,70989,70779,71023,71628,59,-514,-603,-757,-210,244,605,218,828,799,794,746,768,757,196,799,768,846,802,822,825,22,29,31,-52,-56,-54,-68,11,59,44,37,43,48,50,27,-594,-684,-690,-149,208,611,38,-535,-640,-653,-106,256,661,-1,-8,6,-52,-48,42,12
10180,"Abilene, TX",Metropolitan Statistical Area,165252,165252,165603,166651,167540,167609,168465,169893,170364,351,1048,889,69,856,1428,471,539,2295,2357,2389,2383,2400,2445,404,1506,1587,1693,1596,1692,1755,135,789,770,696,787,708,690,89,222,535,407,399,457,381,127,13,-418,-1088,-279,276,-599,216,235,117,-681,120,733,-218,0,24,2,54,-51,-13,-1
10220,"Ada, OK",Micropolitan Statistical Area,37492,37492,37602,37714,38039,38165,38263,38268,38330,110,112,325,126,98,5,62,143,581,561,517,563,512,515,65,467,405,412,398,480,510,78,114,156,105,165,32,5,4,18,32,39,45,46,44,31,-8,136,-33,-87,-96,32,35,10,168,6,-42,-50,76,-3,-12,1,15,-25,23,-19
10300,"Adrian, MI",Micropolitan Statistical Area,99892,99892,99635,99302,98994,98784,98696,98389,98504,-257,-333,-308,-210,-88,-307,115,261,1023,1060,1053,1078,1052,1037,235,947,874,1017,992,1018,985,26,76,186,36,86,34,52,20,55,26,28,32,37,36,-324,-419,-531,-270,-173,-422,103,-304,-364,-505,-242,-141,-385,139,21,-45,11,-4,-33,44,-76
10420,"Akron, OH",Metropolitan Statistical Area,703200,703203,703124,703115,702477,703433,704355,703358,702221,-79,-9,-638,956,922,-997,-1137,1975,7580,7554,7584,7697,7642,7641,1595,6659,7034,7018,6850,7212,7193,380,921,520,566,847,430,448,260,1215,1192,1233,1358,1399,1364,-715,-1816,-2349,-931,-812,-2767,-2470,-455,-601,-1157,302,546,-1368,-1106,-4,-329,-1,88,-471,-59,-479
10460,"Alamogordo, NM",Micropolitan Statistical Area,63797,63799,64356,65494,66016,65813,64994,64430,65410,557,1138,522,-203,-819,-564,980,207,906,937,813,885,921,892,95,566,528,569,600,596,602,112,340,409,244,285,325,290,74,203,531,448,468,527,458,354,614,-412,-852,-1568,-1378,264,428,817,119,-404,-1100,-851,722,17,-19,-6,-43,-4,-38,-32
10500,"Albany, GA",Metropolitan Statistical Area,157308,157500,157663,157814,157322,155953,155154,153508,152219,163,151,-492,-1369,-799,-1646,-1289,544,2333,2182,2212,2059,2010,1937,410,1241,1396,1461,1415,1481,1515,134,1092,786,751,644,529,422,19,92,136,100,107,118,100,10,-1112,-1438,-2184,-1538,-2291,-1887,29,-1020,-1302,-2084,-1431,-2173,-1787,0,79,24,-36,-12,-2,76
10540,"Albany, OR",Metropolitan Statistical Area,116672,116672,116888,118127,118332,118496,119188,120444,122849,216,1239,205,164,692,1256,2405,386,1453,1445,1378,1453,1455,1436,260,1127,1125,1137,1215,1293,1290,126,326,320,241,238,162,146,13,33,-1,0,6,11,12,79,878,-105,-103,435,976,2126,92,911,-106,-103,441,987,2138,-2,2,-9,26,13,107,121
10580,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,870716,870692,871103,873214,875637,878401,879775,880803,881839,411,2111,2423,2764,1374,1028,1036,2376,9103,9116,9196,9172,9102,9158,1791,7626,7651,7766,7551,7768,8058,585,1477,1465,1430,1621,1334,1100,542,2263,2530,2359,2569,2699,2595,-694,-1508,-1514,-838,-2436,-2560,-2197,-152,755,1016,1521,133,139,398,-22,-121,-58,-187,-380,-445,-462
10620,"Albemarle, NC",Micropolitan Statistical Area,60585,60585,60551,60480,60485,60595,60595,60586,60791,-34,-71,5,110,0,-9,205,140,681,635,629,695,678,695,135,625,690,644,671,693,704,5,56,-55,-15,24,-15,-9,7,32,19,29,30,29,30,-42,-121,49,77,-52,-20,181,-35,-89,68,106,-22,9,211,-4,-38,-8,19,-2,-3,3
10660,"Albert Lea, MN",Micropolitan Statistical Area,31255,31255,31210,31093,31035,30936,30768,30570,30446,-45,-117,-58,-99,-168,-198,-124,94,358,328,365,346,336,327,107,363,359,313,360,382,357,-13,-5,-31,52,-14,-46,-30,5,20,13,12,15,15,16,-37,-113,-40,-180,-144,-154,-79,-32,-93,-27,-168,-129,-139,-63,0,-19,0,17,-25,-13,-31
10700,"Albertville, AL",Micropolitan Statistical Area,93019,93019,93150,93885,94182,94318,94320,94693,95157,131,735,297,136,2,373,464,323,1310,1291,1212,1299,1284,1280,269,1015,1054,1104,1095,1105,1145,54,295,237,108,204,179,135,29,120,43,76,96,102,103,46,351,26,-99,-268,13,225,75,471,69,-23,-172,115,328,2,-31,-9,51,-30,79,1
10740,"Albuquerque, NM",Metropolitan Statistical Area,887077,887080,889639,896818,900781,902911,903658,905174,909906,2559,7179,3963,2130,747,1516,4732,2759,11171,11025,10727,10469,10279,10272,1417,6716,6616,6826,7018,7546,7602,1342,4455,4409,3901,3451,2733,2670,230,792,1173,881,1049,1165,1065,946,2133,-1548,-2709,-3612,-2608,963,1176,2925,-375,-1828,-2563,-1443,2028,41,-201,-71,57,-141,226,34
