destination,st_dest_abbrv,co_dest_name,hshlds,pop
06071,CA,San Bernardino County,13581,30386
06059,CA,Orange County,15621,28238
06065,CA,Riverside County,7430,15802
59000,DS,Other flows - Different State,5931,10447
32003,NV,Clark County,4599,9151
06073,CA,San Diego County,4943,8130
06111,CA,Ventura County,4327,7922
06029,CA,Kern County,2123,4691
04013,AZ,Maricopa County,2175,4173
57001,FR,Foreign - Overseas,2009,3570
48453,TX,Travis County,1588,2868
06085,CA,Santa Clara County,1583,2587
06001,CA,Alameda County,1588,2403
53033,WA,King County,1283,2039
48201,TX,Harris County,1040,1970
36061,NY,New York County,1474,1849
06075,CA,San Francisco County,1559,1848
06067,CA,Sacramento County,929,1650
06019,CA,Fresno County,698,1440
06083,CA,Santa Barbara County,837,1291
17031,IL,Cook County,882,1272
06013,CA,Contra Costa County,747,1242
48113,TX,Dallas County,702,1236
06081,CA,San Mateo County,696,1042
36047,NY,Kings County,773,943
12086,FL,Miami-Dade County,535,936
48439,TX,Tarrant County,440,922
15003,HI,Honolulu County,557,895
41051,OR,Multnomah County,608,862
06107,CA,Tulare County,350,834
48029,TX,Bexar County,402,790
06079,CA,San Luis Obispo County,487,750
49035,UT,Salt Lake County,370,731
57005,FR,Foreign - APO/FPO ZIPs,391,656
53053,WA,Pierce County,322,581
48085,TX,Collin County,260,565
06077,CA,San Joaquin County,294,564
04019,AZ,Pima County,338,541
41067,OR,Washington County,304,534
12011,FL,Broward County,334,526
32031,NV,Washoe County,292,522
36081,NY,Queens County,387,513
08031,CO,Denver County,342,496
48141,TX,El Paso County,216,485
06097,CA,Sonoma County,297,481
13121,GA,Fulton County,303,481
06053,CA,Monterey County,268,477
04015,AZ,Mohave County,267,464
06095,CA,Solano County,253,458
06025,CA,Imperial County,194,442
12095,FL,Orange County,250,441
06099,CA,Stanislaus County,220,436
06041,CA,Marin County,259,433
08041,CO,El Paso County,228,433
25017,MA,Middlesex County,289,426
12057,FL,Hillsborough County,196,423
08005,CO,Arapahoe County,234,419
53061,WA,Snohomish County,239,408
51059,VA,Fairfax County,217,386
11001,DC,District of Columbia,335,380
12099,FL,Palm Beach County,229,380
13135,GA,Gwinnett County,190,376
48121,TX,Denton County,188,369
49049,UT,Utah County,163,368
47037,TN,Davidson County,227,367
06061,CA,Placer County,217,362
48491,TX,Williamson County,174,355
13089,GA,DeKalb County,185,348
27053,MN,Hennepin County,220,336
24031,MD,Montgomery County,207,332
41005,OR,Clackamas County,175,318
40109,OK,Oklahoma County,162,317
06087,CA,Santa Cruz County,225,316
37119,NC,Mecklenburg County,172,309
53011,WA,Clark County,154,309
39049,OH,Franklin County,162,306
04021,AZ,Pinal County,142,288
35001,NM,Bernalillo County,178,283
16001,ID,Ada County,160,281
13067,GA,Cobb County,156,275
48157,TX,Fort Bend County,127,273
06047,CA,Merced County,118,272
12031,FL,Duval County,140,269
58000,SS,Other flows - Same State,141,269
41039,OR,Lane County,153,263
04025,AZ,Yavapai County,144,262
37183,NC,Wake County,135,262
34003,NJ,Bergen County,150,255
25025,MA,Suffolk County,203,253
08001,CO,Adams County,118,244
26125,MI,Oakland County,150,244
42101,PA,Philadelphia County,165,242
08013,CO,Boulder County,143,240
48027,TX,Bell County,125,237
08059,CO,Jefferson County,147,235
04027,AZ,Yuma County,98,232
12103,FL,Pinellas County,140,230
06031,CA,Kings County,104,228
06113,CA,Yolo County,147,223
41029,OR,Jackson County,127,218
08035,CO,Douglas County,111,215
36119,NY,Westchester County,123,213
34017,NJ,Hudson County,145,209
53035,WA,Kitsap County,131,206
36059,NY,Nassau County,125,204
53063,WA,Spokane County,111,202
41047,OR,Marion County,98,201
09001,CT,Fairfield County,112,200
47157,TN,Shelby County,99,198
17043,IL,DuPage County,114,197
18097,IN,Marion County,111,190
29095,MO,Jackson County,106,185
06089,CA,Shasta County,99,177
31055,NE,Douglas County,82,177
40143,OK,Tulsa County,96,175
29189,MO,St. Louis County,114,172
55079,WI,Milwaukee County,92,171
20173,KS,Sedgwick County,84,169
