LA Net Migration
inflow_2014_15_outflow_2014_15
+--------+--------+-------------------------------+---------+---------+
| county | stname |             coname            | returns | exempts |
+--------+--------+-------------------------------+---------+---------+
| 17031  |   IL   |          Cook County          |   702   |   911   |
| 48453  |   TX   |         Travis County         |   345   |   850   |
| 36047  |   NY   |          Kings County         |   455   |   721   |
| 36061  |   NY   |        New York County        |   453   |   634   |
| 36081  |   NY   |         Queens County         |   256   |   421   |
| 25017  |   MA   |        Middlesex County       |   159   |   216   |
| 42101  |   PA   |      Philadelphia County      |   149   |   172   |
| 36103  |   NY   |         Suffolk County        |   134   |   157   |
| 34017  |   NJ   |         Hudson County         |    79   |   154   |
| 36059  |   NY   |         Nassau County         |   118   |   149   |
| 27053  |   MN   |        Hennepin County        |   114   |   135   |
| 25025  |   MA   |         Suffolk County        |   107   |   131   |
| 11001  |   DC   |      District of Columbia     |    40   |   104   |
| 17043  |   IL   |         DuPage County         |    90   |   103   |
| 36119  |   NY   |       Westchester County      |    81   |   103   |
| 51059  |   VA   |         Fairfax County        |   101   |   102   |
| 57005  |   FR   |     Foreign - APO/FPO ZIPs    |    38   |    98   |
| 29189  |   MO   |        St. Louis County       |    69   |    97   |
| 39035  |   OH   |        Cuyahoga County        |    69   |    93   |
| 34003  |   NJ   |         Bergen County         |    72   |    91   |
| 36005  |   NY   |          Bronx County         |    55   |    90   |
| 09001  |   CT   |        Fairfield County       |    84   |    84   |
| 09003  |   CT   |        Hartford County        |    62   |    76   |
| 34025  |   NJ   |        Monmouth County        |    64   |    74   |
| 17097  |   IL   |          Lake County          |    66   |    73   |
| 26163  |   MI   |          Wayne County         |    62   |    71   |
| 44007  |   RI   |       Providence County       |    64   |    70   |
| 39095  |   OH   |          Lucas County         |    45   |    69   |
| 34013  |   NJ   |          Essex County         |    52   |    66   |
| 24033  |   MD   |     Prince George's County    |    47   |    65   |
| 45079  |   SC   |        Richland County        |    33   |    65   |
| 25013  |   MA   |         Hampden County        |    47   |    63   |
| 24005  |   MD   |        Baltimore County       |    54   |    62   |
| 34039  |   NJ   |          Union County         |    46   |    62   |
| 25021  |   MA   |         Norfolk County        |    58   |    59   |
| 47157  |   TN   |         Shelby County         |    34   |    59   |
| 34023  |   NJ   |        Middlesex County       |    57   |    57   |
| 35013  |   NM   |        Dona Ana County        |    30   |    56   |
| 18097  |   IN   |         Marion County         |    44   |    55   |
| 34027  |   NJ   |         Morris County         |    47   |    54   |
| 06069  |   CA   |       San Benito County       |    29   |    53   |
| 17111  |   IL   |         McHenry County        |    39   |    52   |
| 24031  |   MD   |       Montgomery County       |    77   |    52   |
| 51700  |   VA   |       Newport News city       |    25   |    51   |
| 55133  |   WI   |        Waukesha County        |    30   |    51   |
| 17163  |   IL   |        St. Clair County       |    27   |    50   |
| 26099  |   MI   |         Macomb County         |    36   |    49   |
| 42003  |   PA   |        Allegheny County       |    49   |    48   |
| 42017  |   PA   |          Bucks County         |    47   |    48   |
| 26125  |   MI   |         Oakland County        |    71   |    47   |
| 51179  |   VA   |        Stafford County        |    28   |    47   |
| 34001  |   NJ   |        Atlantic County        |    32   |    46   |
| 42045  |   PA   |        Delaware County        |    42   |    46   |
| 13153  |   GA   |         Houston County        |    24   |    43   |
| 34005  |   NJ   |       Burlington County       |    32   |    42   |
| 39017  |   OH   |         Butler County         |    27   |    41   |
| 39093  |   OH   |         Lorain County         |    23   |    41   |
| 53025  |   WA   |          Grant County         |    20   |    41   |
| 26077  |   MI   |        Kalamazoo County       |    28   |    40   |
| 27123  |   MN   |         Ramsey County         |    32   |    40   |
| 34035  |   NJ   |        Somerset County        |    30   |    40   |
| 01101  |   AL   |       Montgomery County       |    23   |    39   |
| 24003  |   MD   |      Anne Arundel County      |    15   |    39   |
| 09005  |   CT   |       Litchfield County       |    26   |    38   |
| 37133  |   NC   |         Onslow County         |    23   |    38   |
| 39165  |   OH   |         Warren County         |    22   |    38   |
| 50007  |   VT   |       Chittenden County       |    34   |    38   |
| 09009  |   CT   |        New Haven County       |    29   |    36   |
| 26049  |   MI   |         Genesee County        |    26   |    36   |
| 39057  |   OH   |         Greene County         |    27   |    36   |
| 06033  |   CA   |          Lake County          |    24   |    35   |
| 27003  |   MN   |          Anoka County         |    26   |    35   |
| 51153  |   VA   |     Prince William County     |    29   |    35   |
| 22115  |   LA   |         Vernon Parish         |    21   |    34   |
| 29047  |   MO   |          Clay County          |    21   |    34   |
| 36085  |   NY   |        Richmond County        |    13   |    34   |
| 51650  |   VA   |          Hampton city         |    20   |    34   |
| 17093  |   IL   |         Kendall County        |    22   |    33   |
| 24021  |   MD   |        Frederick County       |    27   |    33   |
| 29510  |   MO   |         St. Louis city        |    22   |    33   |
| 36091  |   NY   |        Saratoga County        |    30   |    33   |
| 39061  |   OH   |        Hamilton County        |    31   |    33   |
| 42079  |   PA   |         Luzerne County        |    21   |    33   |
| 17201  |   IL   |        Winnebago County       |    25   |    32   |
| 22051  |   LA   |        Jefferson Parish       |    16   |    31   |
| 34021  |   NJ   |         Mercer County         |    29   |    31   |
| 42011  |   PA   |          Berks County         |    26   |    31   |
| 42129  |   PA   |      Westmoreland County      |    23   |    31   |
| 44003  |   RI   |          Kent County          |    21   |    31   |
| 08067  |   CO   |        La Plata County        |    22   |    30   |
| 25009  |   MA   |          Essex County         |    43   |    30   |
| 36029  |   NY   |          Erie County          |    38   |    30   |
| 42043  |   PA   |         Dauphin County        |    25   |    30   |
| 17119  |   IL   |         Madison County        |    19   |    29   |
| 20045  |   KS   |         Douglas County        |    21   |    29   |
| 24025  |   MD   |         Harford County        |    22   |    29   |
| 25023  |   MA   |        Plymouth County        |    28   |    29   |
| 42091  |   PA   |       Montgomery County       |    35   |    29   |
| 25003  |   MA   |        Berkshire County       |    23   |    28   |
| 25015  |   MA   |        Hampshire County       |    24   |    28   |
| 51003  |   VA   |        Albemarle County       |    20   |    28   |
| 51760  |   VA   |         Richmond city         |    11   |    28   |
| 05119  |   AR   |         Pulaski County        |    18   |    27   |
| 10003  |   DE   |       New Castle County       |    20   |    27   |
| 25027  |   MA   |        Worcester County       |    26   |    27   |
| 17167  |   IL   |        Sangamon County        |    20   |    26   |
| 34029  |   NJ   |          Ocean County         |    23   |    26   |
| 42133  |   PA   |          York County          |    20   |    26   |
| 26161  |   MI   |        Washtenaw County       |    33   |    25   |
| 27163  |   MN   |       Washington County       |    15   |    25   |
| 39151  |   OH   |          Stark County         |    21   |    25   |
| 33015  |   NH   |       Rockingham County       |    15   |    23   |
| 42029  |   PA   |         Chester County        |    31   |    23   |
| 26065  |   MI   |         Ingham County         |    12   |    22   |
| 36087  |   NY   |        Rockland County        |    23   |    22   |
| 24510  |   MD   |         Baltimore city        |    20   |    20   |
| 39113  |   OH   |       Montgomery County       |    15   |    20   |
| 55079  |   WI   |        Milwaukee County       |    47   |    20   |
| 06101  |   CA   |         Sutter County         |    16   |    19   |
| 18003  |   IN   |          Allen County         |    12   |    19   |
| 34007  |   NJ   |         Camden County         |    24   |    19   |
| 36055  |   NY   |         Monroe County         |    27   |    19   |
| 12021  |   FL   |         Collier County        |    17   |    18   |
| 04019  |   AZ   |          Pima County          |    22   |    16   |
| 09011  |   CT   |       New London County       |    13   |    15   |
| 12011  |   FL   |         Broward County        |    23   |    15   |
| 25005  |   MA   |         Bristol County        |    20   |    15   |
