LA Out Migration
outflow_2013_14
+-------------+---------------+-------------------------------+--------+-------+
| destination | st_dest_abbrv |          co_dest_name         | hshlds |  pop  |
+-------------+---------------+-------------------------------+--------+-------+
|    06071    |       CA      |     San Bernardino County     | 15750  | 35602 |
|    06059    |       CA      |         Orange County         | 19238  | 35528 |
|    06065    |       CA      |        Riverside County       |  9230  | 19877 |
|    59000    |       DS      | Other flows - Different State |  6701  | 12237 |
|    06111    |       CA      |         Ventura County        |  5412  | 10020 |
|    32003    |       NV      |          Clark County         |  4999  |  9808 |
|    06073    |       CA      |        San Diego County       |  5334  |  8986 |
|    06029    |       CA      |          Kern County          |  2484  |  5768 |
|    48453    |       TX      |         Travis County         |  2886  |  5637 |
|    04013    |       AZ      |        Maricopa County        |  2608  |  4961 |
|    57001    |       FR      |       Foreign - Overseas      |  1878  |  3372 |
|    06085    |       CA      |       Santa Clara County      |  1900  |  3109 |
|    06001    |       CA      |         Alameda County        |  1933  |  2982 |
|    53033    |       WA      |          King County          |  1572  |  2578 |
|    48201    |       TX      |         Harris County         |  1211  |  2364 |
|    06075    |       CA      |      San Francisco County     |  1888  |  2349 |
|    36061    |       NY      |        New York County        |  1790  |  2207 |
|    06067    |       CA      |       Sacramento County       |  1082  |  1848 |
|    17031    |       IL      |          Cook County          |  1136  |  1669 |
|    06083    |       CA      |      Santa Barbara County     |  1010  |  1650 |
|    06013    |       CA      |      Contra Costa County      |  936   |  1644 |
|    06019    |       CA      |         Fresno County         |  767   |  1626 |
|    48113    |       TX      |         Dallas County         |  784   |  1395 |
|    06081    |       CA      |        San Mateo County       |  897   |  1372 |
|    36047    |       NY      |          Kings County         |  909   |  1154 |
|    15003    |       HI      |        Honolulu County        |  681   |  1135 |
|    48439    |       TX      |         Tarrant County        |  543   |  1134 |
|    12086    |       FL      |       Miami-Dade County       |  632   |  1033 |
|    41051    |       OR      |        Multnomah County       |  690   |  989  |
|    06079    |       CA      |     San Luis Obispo County    |  594   |  965  |
|    48029    |       TX      |          Bexar County         |  459   |  938  |
|    49035    |       UT      |        Salt Lake County       |  434   |  926  |
|    06107    |       CA      |         Tulare County         |  387   |  868  |
|    06077    |       CA      |       San Joaquin County      |  380   |  830  |
|    57005    |       FR      |     Foreign - APO/FPO ZIPs    |  458   |  801  |
|    04019    |       AZ      |          Pima County          |  445   |  769  |
|    48085    |       TX      |         Collin County         |  339   |  736  |
|    53053    |       WA      |         Pierce County         |  378   |  712  |
|    12011    |       FL      |         Broward County        |  410   |  677  |
|    13121    |       GA      |         Fulton County         |  399   |  673  |
|    41067    |       OR      |       Washington County       |  372   |  670  |
|    36081    |       NY      |         Queens County         |  464   |  663  |
|    08031    |       CO      |         Denver County         |  418   |  645  |
|    25017    |       MA      |        Middlesex County       |  402   |  639  |
|    06053    |       CA      |        Monterey County        |  335   |  636  |
|    08041    |       CO      |         El Paso County        |  305   |  628  |
|    51059    |       VA      |         Fairfax County        |  317   |  622  |
|    04015    |       AZ      |         Mohave County         |  339   |  618  |
|    32031    |       NV      |         Washoe County         |  327   |  617  |
|    06097    |       CA      |         Sonoma County         |  371   |  599  |
|    06099    |       CA      |       Stanislaus County       |  281   |  586  |
|    53061    |       WA      |        Snohomish County       |  290   |  582  |
|    48141    |       TX      |         El Paso County        |  276   |  557  |
|    06095    |       CA      |         Solano County         |  340   |  546  |
|    06025    |       CA      |        Imperial County        |  231   |  538  |
|    48121    |       TX      |         Denton County         |  240   |  508  |
|    06061    |       CA      |         Placer County         |  285   |  501  |
|    08005    |       CO      |        Arapahoe County        |  275   |  500  |
|    12095    |       FL      |         Orange County         |  281   |  498  |
|    06041    |       CA      |          Marin County         |  289   |  497  |
|    11001    |       DC      |      District of Columbia     |  375   |  487  |
|    47037    |       TN      |        Davidson County        |  308   |  483  |
|    12099    |       FL      |       Palm Beach County       |  266   |  456  |
|    37119    |       NC      |       Mecklenburg County      |  245   |  455  |
|    48491    |       TX      |       Williamson County       |  219   |  450  |
|    49049    |       UT      |          Utah County          |  177   |  438  |
|    13135    |       GA      |        Gwinnett County        |  211   |  433  |
|    24031    |       MD      |       Montgomery County       |  261   |  429  |
|    16001    |       ID      |           Ada County          |  214   |  428  |
|    35001    |       NM      |       Bernalillo County       |  240   |  423  |
|    48157    |       TX      |        Fort Bend County       |  184   |  418  |
|    13089    |       GA      |         DeKalb County         |  238   |  413  |
|    04025    |       AZ      |         Yavapai County        |  241   |  401  |
|    27053    |       MN      |        Hennepin County        |  254   |  393  |
|    06087    |       CA      |       Santa Cruz County       |  260   |  382  |
|    42101    |       PA      |      Philadelphia County      |  264   |  362  |
|    26125    |       MI      |         Oakland County        |  228   |  361  |
|    04021    |       AZ      |          Pinal County         |  172   |  358  |
|    37183    |       NC      |          Wake County          |  176   |  345  |
|    40109    |       OK      |        Oklahoma County        |  178   |  345  |
|    53011    |       WA      |          Clark County         |  183   |  341  |
|    41005    |       OR      |        Clackamas County       |  176   |  331  |
|    13067    |       GA      |          Cobb County          |  179   |  329  |
|    06047    |       CA      |         Merced County         |  139   |  312  |
|    36059    |       NY      |         Nassau County         |  176   |  308  |
|    39049    |       OH      |        Franklin County        |  175   |  307  |
|    17043    |       IL      |         DuPage County         |  163   |  301  |
|    18097    |       IN      |         Marion County         |  152   |  299  |
|    06017    |       CA      |        El Dorado County       |  170   |  293  |
|    36103    |       NY      |         Suffolk County        |  181   |  292  |
|    34003    |       NJ      |         Bergen County         |  159   |  291  |
|    48339    |       TX      |       Montgomery County       |  133   |  288  |
|    04027    |       AZ      |          Yuma County          |  126   |  287  |
|    29189    |       MO      |        St. Louis County       |  161   |  286  |
|    06113    |       CA      |          Yolo County          |  173   |  285  |
|    08035    |       CO      |         Douglas County        |  137   |  284  |
|    25025    |       MA      |         Suffolk County        |  232   |  279  |
|    41039    |       OR      |          Lane County          |  166   |  275  |
|    06031    |       CA      |          Kings County         |  128   |  274  |
|    36119    |       NY      |       Westchester County      |  151   |  269  |
|    12057    |       FL      |      Hillsborough County      |  143   |  268  |
|    40143    |       OK      |          Tulsa County         |  142   |  268  |
|    12103    |       FL      |        Pinellas County        |  160   |  261  |
|    08001    |       CO      |          Adams County         |  130   |  260  |
|    08013    |       CO      |         Boulder County        |  160   |  258  |
|    47157    |       TN      |         Shelby County         |  137   |  257  |
|    25021    |       MA      |         Norfolk County        |  161   |  254  |
|    08059    |       CO      |        Jefferson County       |  165   |  250  |
|    34017    |       NJ      |         Hudson County         |  170   |  250  |
|    42003    |       PA      |        Allegheny County       |  154   |  250  |
|    53063    |       WA      |         Spokane County        |  139   |  249  |
|    49053    |       UT      |       Washington County       |  115   |  248  |
|    09001    |       CT      |        Fairfield County       |  143   |  244  |
|    26163    |       MI      |          Wayne County         |  148   |  240  |
|    53077    |       WA      |         Yakima County         |   92   |  240  |
|    41029    |       OR      |         Jackson County        |  134   |  239  |
|    06023    |       CA      |        Humboldt County        |  161   |  237  |
|    41017    |       OR      |        Deschutes County       |  138   |  226  |
|    02020    |       AK      |     Anchorage Municipality    |  134   |  225  |
|    39035    |       OH      |        Cuyahoga County        |  146   |  223  |
|    53035    |       WA      |         Kitsap County         |  123   |  223  |
|    41047    |       OR      |         Marion County         |  110   |  222  |
|    15009    |       HI      |          Maui County          |  143   |  218  |
|    29095    |       MO      |         Jackson County        |  109   |  216  |
|    12031    |       FL      |          Duval County         |  132   |  210  |
|    20091    |       KS      |         Johnson County        |  103   |  210  |
|    48027    |       TX      |          Bell County          |  113   |  208  |
|    49011    |       UT      |          Davis County         |   88   |  205  |
|    17097    |       IL      |          Lake County          |  115   |  202  |
|    51107    |       VA      |         Loudoun County        |   97   |  202  |
|    15001    |       HI      |         Hawaii County         |  116   |  198  |
|    20173    |       KS      |        Sedgwick County        |   83   |  198  |
|    22071    |       LA      |         Orleans Parish        |  153   |  197  |
|    55079    |       WI      |        Milwaukee County       |  120   |  196  |
|    51153    |       VA      |     Prince William County     |   92   |  195  |
|    06007    |       CA      |          Butte County         |  112   |  190  |
|    51013    |       VA      |        Arlington County       |  131   |  190  |
|    06055    |       CA      |          Napa County          |  112   |  186  |
|    51810    |       VA      |      Virginia Beach city      |  103   |  184  |
|    12009    |       FL      |         Brevard County        |   99   |  183  |
|    08069    |       CO      |         Larimer County        |  104   |  181  |
|    24033    |       MD      |     Prince George's County    |   95   |  179  |
|    06039    |       CA      |         Madera County         |   84   |  177  |
|    31055    |       NE      |         Douglas County        |   94   |  171  |
|    35049    |       NM      |        Santa Fe County        |  117   |  171  |
