"cbsa_code","cbsa_name","metro_micro","co_name","st_name","st_code","co_code","fips"
"10100","Aberdeen, SD","Micropolitan Statistical Area","Brown County","South Dakota","46","013","46013"
"10100","Aberdeen, SD","Micropolitan Statistical Area","Edmunds County","South Dakota","46","045","46045"
"10140","Aberdeen, WA","Micropolitan Statistical Area","Grays Harbor County","Washington","53","027","53027"
"10180","Abilene, TX","Metropolitan Statistical Area","Callahan County","Texas","48","059","48059"
"10180","Abilene, TX","Metropolitan Statistical Area","Jones County","Texas","48","253","48253"
"10180","Abilene, TX","Metropolitan Statistical Area","Taylor County","Texas","48","441","48441"
"10220","Ada, OK","Micropolitan Statistical Area","Pontotoc County","Oklahoma","40","123","40123"
"10300","Adrian, MI","Micropolitan Statistical Area","Lenawee County","Michigan","26","091","26091"
"10420","Akron, OH","Metropolitan Statistical Area","Portage County","Ohio","39","133","39133"
"10420","Akron, OH","Metropolitan Statistical Area","Summit County","Ohio","39","153","39153"
"10460","Alamogordo, NM","Micropolitan Statistical Area","Otero County","New Mexico","35","035","35035"
"10500","Albany, GA","Metropolitan Statistical Area","Baker County","Georgia","13","007","13007"
"10500","Albany, GA","Metropolitan Statistical Area","Dougherty County","Georgia","13","095","13095"
"10500","Albany, GA","Metropolitan Statistical Area","Lee County","Georgia","13","177","13177"
"10500","Albany, GA","Metropolitan Statistical Area","Terrell County","Georgia","13","273","13273"
"10500","Albany, GA","Metropolitan Statistical Area","Worth County","Georgia","13","321","13321"
"10540","Albany, OR","Metropolitan Statistical Area","Linn County","Oregon","41","043","41043"
"10580","Albany-Schenectady-Troy, NY","Metropolitan Statistical Area","Albany County","New York","36","001","36001"
"10580","Albany-Schenectady-Troy, NY","Metropolitan Statistical Area","Rensselaer County","New York","36","083","36083"
"10580","Albany-Schenectady-Troy, NY","Metropolitan Statistical Area","Saratoga County","New York","36","091","36091"
"10580","Albany-Schenectady-Troy, NY","Metropolitan Statistical Area","Schenectady County","New York","36","093","36093"
"10580","Albany-Schenectady-Troy, NY","Metropolitan Statistical Area","Schoharie County","New York","36","095","36095"
"10620","Albemarle, NC","Micropolitan Statistical Area","Stanly County","North Carolina","37","167","37167"
"10660","Albert Lea, MN","Micropolitan Statistical Area","Freeborn County","Minnesota","27","047","27047"
"10700","Albertville, AL","Micropolitan Statistical Area","Marshall County","Alabama","01","095","01095"
"10740","Albuquerque, NM","Metropolitan Statistical Area","Bernalillo County","New Mexico","35","001","35001"
"10740","Albuquerque, NM","Metropolitan Statistical Area","Sandoval County","New Mexico","35","043","35043"
"10740","Albuquerque, NM","Metropolitan Statistical Area","Torrance County","New Mexico","35","057","35057"
"10740","Albuquerque, NM","Metropolitan Statistical Area","Valencia County","New Mexico","35","061","35061"
"10760","Alexander City, AL","Micropolitan Statistical Area","Tallapoosa County","Alabama","01","123","01123"
"10780","Alexandria, LA","Metropolitan Statistical Area","Grant Parish","Louisiana","22","043","22043"
"10780","Alexandria, LA","Metropolitan Statistical Area","Rapides Parish","Louisiana","22","079","22079"
"10820","Alexandria, MN","Micropolitan Statistical Area","Douglas County","Minnesota","27","041","27041"
"10860","Alice, TX","Micropolitan Statistical Area","Jim Wells County","Texas","48","249","48249"
"10900","Allentown-Bethlehem-Easton, PA-NJ","Metropolitan Statistical Area","Warren County","New Jersey","34","041","34041"
"10900","Allentown-Bethlehem-Easton, PA-NJ","Metropolitan Statistical Area","Carbon County","Pennsylvania","42","025","42025"
"10900","Allentown-Bethlehem-Easton, PA-NJ","Metropolitan Statistical Area","Lehigh County","Pennsylvania","42","077","42077"
"10900","Allentown-Bethlehem-Easton, PA-NJ","Metropolitan Statistical Area","Northampton County","Pennsylvania","42","095","42095"
"10940","Alma, MI","Micropolitan Statistical Area","Gratiot County","Michigan","26","057","26057"
"10980","Alpena, MI","Micropolitan Statistical Area","Alpena County","Michigan","26","007","26007"
"11020","Altoona, PA","Metropolitan Statistical Area","Blair County","Pennsylvania","42","013","42013"
"11060","Altus, OK","Micropolitan Statistical Area","Jackson County","Oklahoma","40","065","40065"
"11100","Amarillo, TX","Metropolitan Statistical Area","Armstrong County","Texas","48","011","48011"
"11100","Amarillo, TX","Metropolitan Statistical Area","Carson County","Texas","48","065","48065"
"11100","Amarillo, TX","Metropolitan Statistical Area","Oldham County","Texas","48","359","48359"
"11100","Amarillo, TX","Metropolitan Statistical Area","Potter County","Texas","48","375","48375"
"11100","Amarillo, TX","Metropolitan Statistical Area","Randall County","Texas","48","381","48381"
"11140","Americus, GA","Micropolitan Statistical Area","Schley County","Georgia","13","249","13249"
"11140","Americus, GA","Micropolitan Statistical Area","Sumter County","Georgia","13","261","13261"
"11180","Ames, IA","Metropolitan Statistical Area","Story County","Iowa","19","169","19169"
"11220","Amsterdam, NY","Micropolitan Statistical Area","Montgomery County","New York","36","057","36057"
"11260","Anchorage, AK","Metropolitan Statistical Area","Anchorage Municipality","Alaska","02","020","02020"
"11260","Anchorage, AK","Metropolitan Statistical Area","Matanuska-Susitna Borough","Alaska","02","170","02170"
"11380","Andrews, TX","Micropolitan Statistical Area","Andrews County","Texas","48","003","48003"
"11420","Angola, IN","Micropolitan Statistical Area","Steuben County","Indiana","18","151","18151"
"11460","Ann Arbor, MI","Metropolitan Statistical Area","Washtenaw County","Michigan","26","161","26161"
"11500","Anniston-Oxford-Jacksonville, AL","Metropolitan Statistical Area","Calhoun County","Alabama","01","015","01015"
"11540","Appleton, WI","Metropolitan Statistical Area","Calumet County","Wisconsin","55","015","55015"
"11540","Appleton, WI","Metropolitan Statistical Area","Outagamie County","Wisconsin","55","087","55087"
"11580","Arcadia, FL","Micropolitan Statistical Area","DeSoto County","Florida","12","027","12027"
"11620","Ardmore, OK","Micropolitan Statistical Area","Carter County","Oklahoma","40","019","40019"
"11660","Arkadelphia, AR","Micropolitan Statistical Area","Clark County","Arkansas","05","019","05019"
"11680","Arkansas City-Winfield, KS","Micropolitan Statistical Area","Cowley County","Kansas","20","035","20035"
"11700","Asheville, NC","Metropolitan Statistical Area","Buncombe County","North Carolina","37","021","37021"
"11700","Asheville, NC","Metropolitan Statistical Area","Haywood County","North Carolina","37","087","37087"
"11700","Asheville, NC","Metropolitan Statistical Area","Henderson County","North Carolina","37","089","37089"
"11700","Asheville, NC","Metropolitan Statistical Area","Madison County","North Carolina","37","115","37115"
"11740","Ashland, OH","Micropolitan Statistical Area","Ashland County","Ohio","39","005","39005"
"11780","Ashtabula, OH","Micropolitan Statistical Area","Ashtabula County","Ohio","39","007","39007"
"11820","Astoria, OR","Micropolitan Statistical Area","Clatsop County","Oregon","41","007","41007"
"11860","Atchison, KS","Micropolitan Statistical Area","Atchison County","Kansas","20","005","20005"
"11900","Athens, OH","Micropolitan Statistical Area","Athens County","Ohio","39","009","39009"
"11940","Athens, TN","Micropolitan Statistical Area","McMinn County","Tennessee","47","107","47107"
"11980","Athens, TX","Micropolitan Statistical Area","Henderson County","Texas","48","213","48213"
"12020","Athens-Clarke County, GA","Metropolitan Statistical Area","Clarke County","Georgia","13","059","13059"
"12020","Athens-Clarke County, GA","Metropolitan Statistical Area","Madison County","Georgia","13","195","13195"
