county,stname,coname,returns,exempts
11001,DC,District of Columbia,400,368
25025,MA,Suffolk County,264,221
12021,FL,Collier County,174,124
25017,MA,Middlesex County,198,101
49049,UT,Utah County,57,99
06059,CA,Orange County,93,79
55025,WI,Dane County,71,70
36109,NY,Tompkins County,84,67
37133,NC,Onslow County,23,56
36019,NY,Clinton County,33,49
26161,MI,Washtenaw County,34,45
53053,WA,Pierce County,28,45
26125,MI,Oakland County,62,39
33009,NH,Grafton County,35,36
36063,NY,Niagara County,24,36
18003,IN,Allen County,26,35
45083,SC,Spartanburg County,20,33
29189,MO,St. Louis County,52,32
17043,IL,DuPage County,18,31
36075,NY,Oswego County,24,31
18157,IN,Tippecanoe County,19,30
24043,MD,Washington County,21,29
51540,VA,Charlottesville city,33,28
20173,KS,Sedgwick County,19,27
06061,CA,Placer County,19,25
42027,PA,Centre County,25,25
50001,VT,Addison County,24,24
26077,MI,Kalamazoo County,20,23
27123,MN,Ramsey County,32,23
29510,MO,St. Louis city,14,23
31109,NE,Lancaster County,22,23
13215,GA,Muscogee County,4,22
25015,MA,Hampshire County,36,21
39113,OH,Montgomery County,19,21
39151,OH,Stark County,16,21
41005,OR,Clackamas County,23,21
23011,ME,Kennebec County,15,20
33013,NH,Merrimack County,20,20
06071,CA,San Bernardino County,14,19
01081,AL,Lee County,12,18
12091,FL,Okaloosa County,22,18
18089,IN,Lake County,10,18
25011,MA,Franklin County,24,18
35001,NM,Bernalillo County,17,18
36069,NY,Ontario County,14,18
42081,PA,Lycoming County,11,18
49005,UT,Cache County,10,18
09013,CT,Tolland County,16,17
17113,IL,McLean County,12,17
24045,MD,Wicomico County,10,17
28047,MS,Harrison County,11,17
01125,AL,Tuscaloosa County,13,16
30031,MT,Gallatin County,10,16
42025,PA,Carbon County,13,16
02020,AK,Anchorage Municipality,2,15
29019,MO,Boone County,19,15
47065,TN,Hamilton County,5,15
51199,VA,York County,14,15
53035,WA,Kitsap County,13,15
57005,FR,Foreign - APO/FPO ZIPs,17,15
06107,CA,Tulare County,10,14
27163,MN,Washington County,11,14
28049,MS,Hinds County,11,14
29183,MO,St. Charles County,10,14
36011,NY,Cayuga County,13,14
39133,OH,Portage County,12,14
39173,OH,Wood County,11,14
54039,WV,Kanawha County,11,14
13057,GA,Cherokee County,11,13
36051,NY,Livingston County,12,12
08037,CO,Eagle County,12,11
39017,OH,Butler County,9,11
42125,PA,Washington County,11,11
39003,OH,Allen County,10,10
42129,PA,Westmoreland County,10,10
44005,RI,Newport County,8,10
06077,CA,San Joaquin County,11,9
13021,GA,Bibb County,6,9
47093,TN,Knox County,13,9
50027,VT,Windsor County,10,9
40143,OK,Tulsa County,11,8
53011,WA,Clark County,7,8
44009,RI,Washington County,7,7
49035,UT,Salt Lake County,15,7
08069,CO,Larimer County,7,6
39041,OH,Delaware County,3,6
41039,OR,Lane County,3,5
01073,AL,Jefferson County,6,4
06029,CA,Kern County,5,4
48041,TX,Brazos County,2,4
06079,CA,San Luis Obispo County,8,3
53067,WA,Thurston County,2,3
02090,AK,Fairbanks North Star Borough,1,2
17197,IL,Will County,1,2
20045,KS,Douglas County,3,2
24025,MD,Harford County,24,2
34015,NJ,Gloucester County,6,2
48355,TX,Nueces County,3,2
01089,AL,Madison County,2,1
15009,HI,Maui County,1,1
01101,AL,Montgomery County,-4,0
08097,CO,Pitkin County,-1,0
