destination,st_dest_abbrv,co_dest_name,returns,exempts
59000,DS,Other flows - Different State,13442,23807
36059,NY,Nassau County,10234,20316
36119,NY,Westchester County,7274,13986
36103,NY,Suffolk County,4620,8171
34017,NJ,Hudson County,4629,7273
57001,FR,Foreign - Overseas,3763,6666
34003,NJ,Bergen County,3073,5816
06037,CA,Los Angeles County,3975,5365
34013,NJ,Essex County,2452,4791
09001,CT,Fairfield County,2262,4283
48453,TX,Travis County,1915,3308
34023,NJ,Middlesex County,1611,3086
12086,FL,Miami-Dade County,1858,3033
12011,FL,Broward County,1734,2938
36071,NY,Orange County,1369,2836
42101,PA,Philadelphia County,1574,2748
36087,NY,Rockland County,1080,2443
12099,FL,Palm Beach County,1409,2376
34039,NJ,Union County,1162,2282
12095,FL,Orange County,1105,2153
34025,NJ,Monmouth County,1126,2029
17031,IL,Cook County,1398,1940
48201,TX,Harris County,1047,1920
06075,CA,San Francisco County,1540,1829
09009,CT,New Haven County,886,1699
34031,NJ,Passaic County,789,1608
42089,PA,Monroe County,675,1466
12057,FL,Hillsborough County,763,1409
36027,NY,Dutchess County,769,1347
58000,SS,Other flows - Same State,815,1310
37119,NC,Mecklenburg County,686,1269
42077,PA,Lehigh County,597,1244
25025,MA,Suffolk County,907,1237
25017,MA,Middlesex County,857,1219
34029,NJ,Ocean County,548,1163
11001,DC,District of Columbia,923,1139
12097,FL,Osceola County,490,1027
24031,MD,Montgomery County,603,1027
13135,GA,Gwinnett County,478,1020
53033,WA,King County,716,1018
06073,CA,San Diego County,677,993
13121,GA,Fulton County,612,982
09003,CT,Hartford County,565,980
04013,AZ,Maricopa County,549,900
34027,NJ,Morris County,509,883
42079,PA,Luzerne County,423,883
06001,CA,Alameda County,654,878
36029,NY,Erie County,413,827
36001,NY,Albany County,491,826
48113,TX,Dallas County,508,812
13089,GA,DeKalb County,448,810
57009,FR,Foreign - Other flows,436,805
37183,NC,Wake County,406,791
24033,MD,Prince George's County,411,770
32003,NV,Clark County,482,767
36111,NY,Ulster County,466,749
44007,RI,Providence County,397,735
34021,NJ,Mercer County,383,710
36079,NY,Putnam County,370,705
06085,CA,Santa Clara County,487,696
51059,VA,Fairfax County,388,684
42011,PA,Berks County,310,657
25021,MA,Norfolk County,373,640
24005,MD,Baltimore County,318,637
34035,NJ,Somerset County,382,634
