NYC In Migration
inflow_2012_13
+--------+---------------+-------------------------------+---------+---------+
| origin | st_orig_abbrv |          co_orig_name         | returns | exempts |
+--------+---------------+-------------------------------+---------+---------+
| 36059  |       NY      |         Nassau County         |   8975  |  14458  |
| 59000  |       DS      | Other flows - Different State |   8999  |  14062  |
| 36119  |       NY      |       Westchester County      |   6502  |  10806  |
| 36103  |       NY      |         Suffolk County        |   4836  |   7493  |
| 34017  |       NJ      |         Hudson County         |   4294  |   6270  |
| 34003  |       NJ      |         Bergen County         |   2847  |   4436  |
| 06037  |       CA      |       Los Angeles County      |   3336  |   4265  |
| 12086  |       FL      |       Miami-Dade County       |   2522  |   3862  |
| 09001  |       CT      |        Fairfield County       |   2341  |   3473  |
| 34013  |       NJ      |          Essex County         |   1927  |   3114  |
| 57001  |       FR      |       Foreign - Overseas      |   1705  |   2926  |
| 12011  |       FL      |         Broward County        |   1865  |   2852  |
| 42101  |       PA      |      Philadelphia County      |   1925  |   2747  |
| 17031  |       IL      |          Cook County          |   2130  |   2734  |
| 34023  |       NJ      |        Middlesex County       |   1507  |   2435  |
| 57003  |       FR      |     Foreign - Puerto Rico     |   1268  |   2189  |
| 11001  |       DC      |      District of Columbia     |   1679  |   1954  |
| 25017  |       MA      |        Middlesex County       |   1483  |   1877  |
| 34025  |       NJ      |        Monmouth County        |   1207  |   1809  |
| 25025  |       MA      |         Suffolk County        |   1418  |   1756  |
| 12099  |       FL      |       Palm Beach County       |   1165  |   1721  |
| 36071  |       NY      |         Orange County         |   977   |   1686  |
| 36087  |       NY      |        Rockland County        |   1018  |   1662  |
| 06075  |       CA      |      San Francisco County     |   1380  |   1658  |
| 12095  |       FL      |         Orange County         |   982   |   1658  |
| 34039  |       NJ      |          Union County         |   1003  |   1645  |
| 09009  |       CT      |        New Haven County       |   1051  |   1517  |
| 34031  |       NJ      |         Passaic County        |   734   |   1268  |
| 48201  |       TX      |         Harris County         |   814   |   1187  |
| 12057  |       FL      |      Hillsborough County      |   710   |   1114  |
| 13121  |       GA      |         Fulton County         |   806   |   1099  |
| 42077  |       PA      |         Lehigh County         |   529   |   1068  |
| 06073  |       CA      |        San Diego County       |   773   |   1028  |
| 24031  |       MD      |       Montgomery County       |   740   |   1019  |
| 53033  |       WA      |          King County          |   789   |   1018  |
| 09003  |       CT      |        Hartford County        |   683   |   975   |
| 48453  |       TX      |         Travis County         |   730   |   972   |
| 36027  |       NY      |        Dutchess County        |   614   |   951   |
| 34027  |       NJ      |         Morris County         |   692   |   924   |
| 37119  |       NC      |       Mecklenburg County      |   579   |   906   |
| 42089  |       PA      |         Monroe County         |   445   |   875   |
| 48113  |       TX      |         Dallas County         |   623   |   861   |
| 06059  |       CA      |         Orange County         |   607   |   811   |
| 51059  |       VA      |         Fairfax County        |   584   |   811   |
| 04013  |       AZ      |        Maricopa County        |   583   |   805   |
| 34021  |       NJ      |         Mercer County         |   545   |   797   |
| 13089  |       GA      |         DeKalb County         |   478   |   786   |
| 13135  |       GA      |        Gwinnett County        |   401   |   783   |
| 58000  |       SS      |    Other flows - Same State   |   502   |   746   |
| 34029  |       NJ      |          Ocean County         |   445   |   739   |
| 36001  |       NY      |         Albany County         |   484   |   711   |
| 25021  |       MA      |         Norfolk County        |   517   |   700   |
| 06001  |       CA      |         Alameda County        |   548   |   687   |
| 44007  |       RI      |       Providence County       |   456   |   684   |
| 36029  |       NY      |          Erie County          |   513   |   682   |
| 34035  |       NJ      |        Somerset County        |   462   |   677   |
| 06085  |       CA      |       Santa Clara County      |   527   |   676   |
| 32003  |       NV      |          Clark County         |   446   |   645   |
| 12097  |       FL      |         Osceola County        |   329   |   638   |
| 25009  |       MA      |          Essex County         |   392   |   603   |
| 37183  |       NC      |          Wake County          |   382   |   602   |
| 42079  |       PA      |         Luzerne County        |   304   |   590   |
| 39049  |       OH      |        Franklin County        |   395   |   589   |
| 24510  |       MD      |         Baltimore city        |   401   |   584   |
| 57005  |       FR      |     Foreign - APO/FPO ZIPs    |   363   |   576   |
| 42003  |       PA      |        Allegheny County       |   428   |   558   |
| 36111  |       NY      |         Ulster County         |   355   |   556   |
| 24033  |       MD      |     Prince George's County    |   346   |   540   |
| 42091  |       PA      |       Montgomery County       |   400   |   530   |
| 36055  |       NY      |         Monroe County         |   405   |   524   |
| 27053  |       MN      |        Hennepin County        |   401   |   516   |
| 24005  |       MD      |        Baltimore County       |   320   |   503   |
| 34007  |       NJ      |         Camden County         |   358   |   498   |
| 42011  |       PA      |          Berks County         |   263   |   492   |
| 51013  |       VA      |        Arlington County       |   379   |   476   |
| 39035  |       OH      |        Cuyahoga County        |   316   |   462   |
| 26163  |       MI      |          Wayne County         |   280   |   457   |
| 10003  |       DE      |       New Castle County       |   300   |   442   |
| 13067  |       GA      |          Cobb County          |   262   |   433   |
| 36067  |       NY      |        Onondaga County        |   318   |   430   |
| 36105  |       NY      |        Sullivan County        |   216   |   419   |
| 12031  |       FL      |          Duval County         |   275   |   413   |
| 09011  |       CT      |       New London County       |   262   |   412   |
| 34005  |       NJ      |       Burlington County       |   276   |   407   |
| 12103  |       FL      |        Pinellas County        |   300   |   401   |
| 25027  |       MA      |        Worcester County       |   266   |   393   |
| 42017  |       PA      |          Bucks County         |   294   |   392   |
| 36079  |       NY      |         Putnam County         |   272   |   391   |
| 26125  |       MI      |         Oakland County        |   273   |   370   |
| 42045  |       PA      |        Delaware County        |   240   |   357   |
| 42095  |       PA      |       Northampton County      |   218   |   357   |
| 12105  |       FL      |          Polk County          |   195   |   347   |
| 48029  |       TX      |          Bexar County         |   219   |   340   |
| 47037  |       TN      |        Davidson County        |   232   |   338   |
| 12117  |       FL      |        Seminole County        |   213   |   331   |
| 37063  |       NC      |         Durham County         |   237   |   331   |
| 15003  |       HI      |        Honolulu County        |   245   |   330   |
| 36093  |       NY      |       Schenectady County      |   193   |   330   |
| 41051  |       OR      |        Multnomah County       |   264   |   329   |
| 13063  |       GA      |         Clayton County        |   175   |   325   |
| 48439  |       TX      |         Tarrant County        |   207   |   313   |
| 12071  |       FL      |           Lee County          |   196   |   312   |
| 51810  |       VA      |      Virginia Beach city      |   180   |   307   |
| 08031  |       CO      |         Denver County         |   250   |   305   |
| 39061  |       OH      |        Hamilton County        |   220   |   304   |
| 34001  |       NJ      |        Atlantic County        |   190   |   299   |
| 36109  |       NY      |        Tompkins County        |   247   |   295   |
| 06081  |       CA      |        San Mateo County       |   214   |   289   |
| 37051  |       NC      |       Cumberland County       |   145   |   288   |
| 36007  |       NY      |         Broome County         |   182   |   283   |
| 12127  |       FL      |         Volusia County        |   161   |   281   |
| 29189  |       MO      |        St. Louis County       |   185   |   270   |
| 25013  |       MA      |         Hampden County        |   163   |   268   |
| 18097  |       IN      |         Marion County         |   165   |   264   |
| 42029  |       PA      |         Chester County        |   204   |   264   |
| 12101  |       FL      |          Pasco County         |   142   |   257   |
| 12009  |       FL      |         Brevard County        |   162   |   256   |
| 06013  |       CA      |      Contra Costa County      |   181   |   244   |
| 24003  |       MD      |      Anne Arundel County      |   155   |   241   |
| 42103  |       PA      |          Pike County          |   131   |   240   |
| 06071  |       CA      |     San Bernardino County     |   159   |   239   |
| 37081  |       NC      |        Guilford County        |   141   |   236   |
| 49035  |       UT      |        Salt Lake County       |   157   |   235   |
| 51760  |       VA      |         Richmond city         |   164   |   235   |
| 09005  |       CT      |       Litchfield County       |   163   |   233   |
| 42071  |       PA      |        Lancaster County       |   139   |   231   |
| 48085  |       TX      |         Collin County         |   156   |   230   |
| 26161  |       MI      |        Washtenaw County       |   185   |   227   |
| 51710  |       VA      |          Norfolk city         |   127   |   226   |
| 12111  |       FL      |        St. Lucie County       |   129   |   216   |
| 47157  |       TN      |         Shelby County         |   141   |   211   |
| 51153  |       VA      |     Prince William County     |   127   |   211   |
| 36083  |       NY      |       Rensselaer County       |   145   |   209   |
| 12115  |       FL      |        Sarasota County        |   144   |   205   |
| 22071  |       LA      |         Orleans Parish        |   169   |   204   |
| 12021  |       FL      |         Collier County        |   127   |   202   |
| 17043  |       IL      |         DuPage County         |   150   |   200   |
| 33011  |       NH      |      Hillsborough County      |   130   |   200   |
| 13051  |       GA      |         Chatham County        |   137   |   198   |
| 55079  |       WI      |        Milwaukee County       |   141   |   193   |
| 36091  |       NY      |        Saratoga County        |   152   |   192   |
| 24027  |       MD      |         Howard County         |   129   |   191   |
| 45079  |       SC      |        Richland County        |   116   |   189   |
| 51087  |       VA      |         Henrico County        |   118   |   189   |
| 06065  |       CA      |        Riverside County       |   138   |   188   |
| 42069  |       PA      |       Lackawanna County       |   105   |   186   |
| 36021  |       NY      |        Columbia County        |   114   |   182   |
| 17097  |       IL      |          Lake County          |   132   |   181   |
| 42043  |       PA      |         Dauphin County        |   107   |   180   |
| 55025  |       WI      |          Dane County          |   147   |   179   |
| 36065  |       NY      |         Oneida County         |   113   |   176   |
| 06067  |       CA      |       Sacramento County       |   123   |   174   |
| 12073  |       FL      |          Leon County          |   128   |   171   |
| 04019  |       AZ      |          Pima County          |   132   |   169   |
| 12069  |       FL      |          Lake County          |    85   |   169   |
| 37133  |       NC      |         Onslow County         |    93   |   168   |
| 45019  |       SC      |       Charleston County       |   122   |   166   |
| 25001  |       MA      |       Barnstable County       |   135   |   164   |
| 34019  |       NJ      |        Hunterdon County       |   122   |   164   |
| 51510  |       VA      |        Alexandria city        |   120   |   159   |
| 25023  |       MA      |        Plymouth County        |   130   |   158   |
| 01073  |       AL      |        Jefferson County       |   101   |   157   |
| 25005  |       MA      |         Bristol County        |   108   |   155   |
| 29095  |       MO      |         Jackson County        |   119   |   155   |
| 48027  |       TX      |          Bell County          |    70   |   154   |
| 42133  |       PA      |          York County          |    97   |   153   |
| 08005  |       CO      |        Arapahoe County        |   120   |   152   |
| 08013  |       CO      |         Boulder County        |   120   |   152   |
| 08041  |       CO      |         El Paso County        |    96   |   152   |
| 48141  |       TX      |         El Paso County        |    89   |   152   |
