NYC Net Migration
inflow_2013_14_outflow_2013_14
+--------+--------+-------------------------------+---------+---------+
| county | stname |             coname            | returns | exempts |
+--------+--------+-------------------------------+---------+---------+
| 11001  |   DC   |      District of Columbia     |   311   |   228   |
| 25025  |   MA   |         Suffolk County        |   200   |   220   |
| 25017  |   MA   |        Middlesex County       |   286   |   121   |
| 51013  |   VA   |        Arlington County       |   129   |   105   |
| 34001  |   NJ   |        Atlantic County        |    62   |    86   |
| 17019  |   IL   |        Champaign County       |    54   |    76   |
| 47093  |   TN   |          Knox County          |    50   |    67   |
| 57005  |   FR   |     Foreign - APO/FPO ZIPs    |    29   |    58   |
| 26161  |   MI   |        Washtenaw County       |    60   |    54   |
| 09013  |   CT   |         Tolland County        |    36   |    52   |
| 26125  |   MI   |         Oakland County        |    63   |    46   |
| 36109  |   NY   |        Tompkins County        |    52   |    42   |
| 42049  |   PA   |          Erie County          |    21   |    34   |
| 47157  |   TN   |         Shelby County         |    33   |    34   |
| 05119  |   AR   |         Pulaski County        |    23   |    32   |
| 18105  |   IN   |         Monroe County         |    21   |    32   |
| 44003  |   RI   |          Kent County          |    24   |    32   |
| 51540  |   VA   |      Charlottesville city     |    19   |    32   |
| 24025  |   MD   |         Harford County        |    19   |    31   |
| 26065  |   MI   |         Ingham County         |    30   |    30   |
| 48121  |   TX   |         Denton County         |    37   |    30   |
| 22033  |   LA   |    East Baton Rouge Parish    |    32   |    29   |
| 36063  |   NY   |         Niagara County        |    23   |    29   |
| 42027  |   PA   |         Centre County         |    25   |    29   |
| 27037  |   MN   |         Dakota County         |    24   |    28   |
| 35001  |   NM   |       Bernalillo County       |    31   |    28   |
| 12073  |   FL   |          Leon County          |    31   |    27   |
| 21067  |   KY   |         Fayette County        |    22   |    27   |
| 39095  |   OH   |          Lucas County         |    24   |    27   |
| 19103  |   IA   |         Johnson County        |    21   |    26   |
| 42041  |   PA   |       Cumberland County       |    23   |    26   |
| 33009  |   NH   |         Grafton County        |    25   |    24   |
| 39153  |   OH   |         Summit County         |    23   |    24   |
| 55133  |   WI   |        Waukesha County        |    22   |    24   |
| 57009  |   FR   |     Foreign - Other flows     |    3    |    21   |
| 27123  |   MN   |         Ramsey County         |    15   |    16   |
| 51003  |   VA   |        Albemarle County       |    12   |    16   |
| 29095  |   MO   |         Jackson County        |    28   |    15   |
| 45079  |   SC   |        Richland County        |    30   |    11   |
| 55079  |   WI   |        Milwaukee County       |    22   |    11   |
| 29510  |   MO   |         St. Louis city        |    11   |    5    |
| 40143  |   OK   |          Tulsa County         |    5    |    5    |
| 44009  |   RI   |       Washington County       |    9    |    4    |
| 12001  |   FL   |         Alachua County        |    17   |    2    |
| 34019  |   NJ   |        Hunterdon County       |    22   |    2    |
| 49049  |   UT   |          Utah County          |    10   |    0    |
| 26081  |   MI   |          Kent County          |    9    |    -1   |
| 41067  |   OR   |       Washington County       |    2    |    -1   |
| 34015  |   NJ   |       Gloucester County       |    24   |    -3   |
| 45013  |   SC   |        Beaufort County        |    -6   |    -3   |
| 06071  |   CA   |     San Bernardino County     |    3    |    -6   |
| 25023  |   MA   |        Plymouth County        |    8    |    -9   |
| 09007  |   CT   |        Middlesex County       |    19   |   -10   |
| 33015  |   NH   |       Rockingham County       |    -8   |   -10   |
| 34035  |   NJ   |        Somerset County        |    58   |   -11   |
| 53053  |   WA   |         Pierce County         |    6    |   -12   |
| 49035  |   UT   |        Salt Lake County       |    31   |   -15   |
