NYC Out Migration
outflow_2011_12
+-------------+---------------+-------------------------------+---------+---------+
| destination | st_dest_abbrv |          co_dest_name         | returns | exempts |
+-------------+---------------+-------------------------------+---------+---------+
|    36059    |       NY      |         Nassau County         |  11673  |  22803  |
|    36119    |       NY      |       Westchester County      |   8978  |  16967  |
|    59000    |       DS      | Other flows - Different State |   9671  |  16808  |
|    36103    |       NY      |         Suffolk County        |   5638  |   9785  |
|    34017    |       NJ      |         Hudson County         |   5655  |   8761  |
|    34003    |       NJ      |         Bergen County         |   4052  |   7687  |
|    57001    |       FR      |       Foreign - Overseas      |   4557  |   7343  |
|    06037    |       CA      |       Los Angeles County      |   4353  |   5821  |
|    09001    |       CT      |        Fairfield County       |   2852  |   5422  |
|    34013    |       NJ      |          Essex County         |   2791  |   5180  |
|    34023    |       NJ      |        Middlesex County       |   2354  |   4411  |
|    12086    |       FL      |       Miami-Dade County       |   3015  |   4381  |
|    12011    |       FL      |         Broward County        |   2566  |   3941  |
|    42101    |       PA      |      Philadelphia County      |   2349  |   3813  |
|    57003    |       FR      |     Foreign - Puerto Rico     |   2518  |   3630  |
|    17031    |       IL      |          Cook County          |   2095  |   2937  |
|    34039    |       NJ      |          Union County         |   1510  |   2849  |
|    36071    |       NY      |         Orange County         |   1411  |   2849  |
|    12095    |       FL      |         Orange County         |   1446  |   2768  |
|    34025    |       NJ      |        Monmouth County        |   1422  |   2691  |
|    12099    |       FL      |       Palm Beach County       |   1695  |   2682  |
|    36087    |       NY      |        Rockland County        |   1272  |   2608  |
|    09009    |       CT      |        New Haven County       |   1485  |   2268  |
|    06075    |       CA      |      San Francisco County     |   1648  |   2165  |
|    34031    |       NJ      |         Passaic County        |   1144  |   2000  |
|    48201    |       TX      |         Harris County         |   1148  |   1897  |
|    42077    |       PA      |         Lehigh County         |   1052  |   1848  |
|    12057    |       FL      |      Hillsborough County      |   1031  |   1765  |
|    25017    |       MA      |        Middlesex County       |   1248  |   1723  |
|    48453    |       TX      |         Travis County         |   1226  |   1702  |
