,co_name,state,inflow2011_12,outflow2011_12,net_flow2011_12,inflow2012_13,outflow2012_13,net_flow2012_13,inflow2013_14,outflow2013_14,net_flow2013_14,inflow2014_15,outflow2014_15,net_flow2014_15,tot_inflow,tot_outflow,tot_net_flow
0,Nassau County,NY,13995,22803,-8808,14458,24494,-10036,13877,25204,-11327,11900,20316,-8416,54230,92817,-38587
1,Other flows - Different State,DS,13850,16808,-2958,14062,17381,-3319,21728,25405,-3677,19743,23807,-4064,69383,83401,-14018
2,Westchester County,NY,11588,16967,-5379,10806,18414,-7608,10438,17173,-6735,9048,13986,-4938,41880,66540,-24660
3,Suffolk County,NY,8838,9785,-947,7493,9636,-2143,7056,9271,-2215,5837,8171,-2334,29224,36863,-7639
4,Hudson County,NJ,6308,8761,-2453,6270,9141,-2871,5729,8818,-3089,4709,7273,-2564,23016,33993,-10977
5,Bergen County,NJ,5393,7687,-2294,4436,7977,-3541,4315,7124,-2809,3860,5816,-1956,18004,28604,-10600
6,Los Angeles County,CA,4297,5821,-1524,4265,7374,-3109,4231,6395,-2164,3465,5365,-1900,16258,24955,-8697
7,Miami-Dade County,FL,3755,4381,-626,3862,3771,91,2571,3483,-912,2062,3033,-971,12250,14668,-2418
8,Essex County,NJ,3536,5180,-1644,3114,5536,-2422,2996,5819,-2823,2861,4791,-1930,12507,21326,-8819
9,Fairfield County,CT,3412,5422,-2010,3473,5834,-2361,3546,5566,-2020,2966,4283,-1317,13397,21105,-7708
10,Middlesex County,NJ,3297,4411,-1114,2435,4257,-1822,2413,4229,-1816,2080,3086,-1006,10225,15983,-5758
12,Philadelphia County,PA,2937,3813,-876,2747,3289,-542,2441,3071,-630,1954,2748,-794,10079,12921,-2842
14,Cook County,IL,2704,2937,-233,2734,3071,-337,2454,2558,-104,1987,1940,47,9879,10506,-627
15,Broward County,FL,2667,3941,-1274,2852,3627,-775,2222,3525,-1303,1833,2938,-1105,9574,14031,-4457
16,Orange County,FL,1917,2768,-851,1658,2846,-1188,1482,2770,-1288,1109,2153,-1044,6166,10537,-4371
17,District of Columbia,DC,1902,1534,368,1954,1500,454,1771,1543,228,1382,1139,243,7009,5716,1293
18,Palm Beach County,FL,1832,2682,-850,1721,2661,-940,1471,2649,-1178,1116,2376,-1260,6140,10368,-4228
19,Middlesex County,MA,1824,1723,101,1877,1826,51,1716,1595,121,1381,1219,162,6798,6363,435
20,Rockland County,NY,1738,2608,-870,1662,2795,-1133,1580,2762,-1182,1383,2443,-1060,6363,10608,-4245
21,Orange County,NY,1707,2849,-1142,1686,3267,-1581,1572,3255,-1683,1402,2836,-1434,6367,12207,-5840
22,New Haven County,CT,1697,2268,-571,1517,2027,-510,1349,1950,-601,1211,1699,-488,5774,7944,-2170
23,Monmouth County,NJ,1696,2691,-995,1809,3036,-1227,1706,2833,-1127,1516,2029,-513,6727,10589,-3862
24,Suffolk County,MA,1668,1447,221,1756,1482,274,1636,1416,220,1126,1237,-111,6186,5582,604
25,Union County,NJ,1634,2849,-1215,1645,2857,-1212,1481,2729,-1248,1355,2282,-927,6115,10717,-4602
26,Passaic County,NJ,1609,2000,-391,1268,1844,-576,1174,1860,-686,1053,1608,-555,5104,7312,-2208
27,San Francisco County,CA,1592,2165,-573,1658,2175,-517,1663,2548,-885,1334,1829,-495,6247,8717,-2470
28,Hillsborough County,FL,1372,1765,-393,1114,1539,-425,816,1545,-729,750,1409,-659,4052,6258,-2206
