cbsa_code,cbsa_name,returns,exempts
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",8227,12824
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",8088,12797
31080,"Los Angeles-Long Beach-Anaheim, CA",5534,7946
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",5474,7689
14860,"Bridgeport-Stamford-Norwalk, CT",4566,7366
14460,"Boston-Cambridge-Newton, MA-NH",5143,6940
45940,"Trenton, NJ",3062,5313
16980,"Chicago-Naperville-Elgin, IL-IN-WI",3082,4403
12060,"Atlanta-Sandy Springs-Roswell, GA",2480,4141
10900,"Allentown-Bethlehem-Easton, PA-NJ",2354,4065
41860,"San Francisco-Oakland-Hayward, CA",2844,3680
36740,"Orlando-Kissimmee-Sanford, FL",2054,3654
45300,"Tampa-St. Petersburg-Clearwater, FL",1766,2859
28740,"Kingston, NY",1541,2568
12420,"Austin-Round Rock, TX",1434,2530
35300,"New Haven-Milford, CT",1481,2265
20700,"East Stroudsburg, PA",1120,2177
12580,"Baltimore-Columbia-Towson, MD",1401,2087
26420,"Houston-The Woodlands-Sugar Land, TX",1176,1949
41740,"San Diego-Carlsbad, CA",1251,1913
10580,"Albany-Schenectady-Troy, NY",1302,1882
19100,"Dallas-Fort Worth-Arlington, TX",1202,1878
25540,"Hartford-West Hartford-East Hartford, CT",1236,1860
38060,"Phoenix-Mesa-Scottsdale, AZ",1109,1756
42660,"Seattle-Tacoma-Bellevue, WA",1092,1603
16740,"Charlotte-Concord-Gastonia, NC-SC",896,1535
12100,"Atlantic City-Hammonton, NJ",739,1256
39580,"Raleigh, NC",698,1222
39300,"Providence-Warwick, RI-MA",738,1144
41940,"San Jose-Sunnyvale-Santa Clara, CA",701,1097
29820,"Las Vegas-Henderson-Paradise, NV",685,1048
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",703,1000
38300,"Pittsburgh, PA",688,984
42540,"Scranton--Wilkes-Barre--Hazleton, PA",517,963
40380,"Rochester, NY",616,885
18140,"Columbus, OH",547,843
19820,"Detroit-Warren-Dearborn, MI",547,778
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",525,708
45060,"Syracuse, NY",425,611
15980,"Cape Coral-Fort Myers, FL",362,583
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",352,580
27260,"Jacksonville, FL",365,577
39740,"Reading, PA",290,561
40060,"Richmond, VA",346,532
49340,"Worcester, MA-CT",339,527
26460,"Hudson, NY",307,500
19660,"Deltona-Daytona Beach-Ormond Beach, FL",281,473
19740,"Denver-Aurora-Lakewood, CO",371,462
40140,"Riverside-San Bernardino-Ontario, CA",308,447
17460,"Cleveland-Elyria, OH",312,434
35980,"Norwich-New London, CT",273,431
35840,"North Port-Sarasota-Bradenton, FL",281,408
44140,"Springfield, MA",268,380
37340,"Palm Bay-Melbourne-Titusville, FL",244,375
13780,"Binghamton, NY",239,364
46520,"Urban Honolulu, HI",241,362
38940,"Port St. Lucie, FL",220,359
24660,"Greensboro-High Point, NC",204,353
38900,"Portland-Vancouver-Hillsboro, OR-WA",280,350
20500,"Durham-Chapel Hill, NC",254,348
41700,"San Antonio-New Braunfels, TX",223,326
45860,"Torrington, CT",192,297
27060,"Ithaca, NY",238,293
29460,"Lakeland-Winter Haven, FL",146,265
41180,"St. Louis, MO-IL",215,265
35380,"New Orleans-Metairie, LA",195,262
22180,"Fayetteville, NC",128,255
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",175,246
17140,"Cincinnati, OH-KY-IN",181,243
41620,"Salt Lake City, UT",181,235
11460,"Ann Arbor, MI",192,232
33340,"Milwaukee-Waukesha-West Allis, WI",158,212
34940,"Naples-Immokalee-Marco Island, FL",121,202
25420,"Harrisburg-Carlisle, PA",136,199
27340,"Jacksonville, NC",100,198
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",112,195
31700,"Manchester-Nashua, NH",149,190
16700,"Charleston-North Charleston, SC",137,189
28140,"Kansas City, MO-KS",148,188
40900,"Sacramento--Roseville--Arden-Arcade, CA",131,187
29540,"Lancaster, PA",116,185
26900,"Indianapolis-Carmel-Anderson, IN",122,184
12700,"Barnstable Town, MA",143,179
46060,"Tucson, AZ",125,177
36100,"Ocala, FL",95,174
32820,"Memphis, TN-MS-AR",119,164
38860,"Portland-South Portland, ME",110,155
46540,"Utica-Rome, NY",99,149
17900,"Columbia, SC",92,141
16820,"Charlottesville, VA",88,124
31540,"Madison, WI",108,120
17820,"Colorado Springs, CO",76,116
14500,"Boulder, CO",91,111
49620,"York-Hanover, PA",63,108
10740,"Albuquerque, NM",89,107
37100,"Oxnard-Thousand Oaks-Ventura, CA",83,106
31140,"Louisville/Jefferson County, KY-IN",73,105
38340,"Pittsfield, MA",68,98
49180,"Winston-Salem, NC",65,95
15540,"Burlington-South Burlington, VT",83,89
24340,"Grand Rapids-Wyoming, MI",62,86
13820,"Birmingham-Hoover, AL",65,85
23540,"Gainesville, FL",69,85
21340,"El Paso, TX",52,84
42340,"Savannah, GA",57,80
16580,"Champaign-Urbana, IL",54,76
25940,"Hilton Head Island-Bluffton-Beaufort, SC",43,73
12940,"Baton Rouge, LA",55,71
17200,"Claremont-Lebanon, NH-VT",58,68
28940,"Knoxville, TN",50,67
48900,"Wilmington, NC",46,66
45220,"Tallahassee, FL",52,62
10420,"Akron, OH",46,60
30460,"Lexington-Fayette, KY",43,58
36420,"Oklahoma City, OK",46,58
14010,"Bloomington, IL",20,53
39340,"Provo-Orem, UT",34,53
36140,"Ocean City, NJ",30,52
42200,"Santa Maria-Santa Barbara, CA",41,51
11700,"Asheville, NC",41,50
42680,"Sebastian-Vero Beach, FL",30,45
42220,"Santa Rosa, CA",40,44
28660,"Killeen-Temple, TX",23,42
20100,"Dover, DE",23,40
24860,"Greenville-Anderson-Mauldin, SC",28,37
46140,"Tulsa, OK",25,35
47220,"Vineland-Bridgeton, NJ",20,35
21500,"Erie, PA",21,34
14020,"Bloomington, IN",21,32
30780,"Little Rock-North Little Rock-Conway, AR",23,32
36540,"Omaha-Council Bluffs, NE-IA",26,32
29620,"Lansing-East Lansing, MI",30,30
44300,"State College, PA",25,29
45780,"Toledo, OH",24,27
26980,"Iowa City, IA",21,26
42140,"Santa Fe, NM",20,26
42100,"Santa Cruz-Watsonville, CA",20,25
