fips,STNAME,CTYNAME,CENSUS2010POP,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,NPOPCHG2011,NPOPCHG2012,NPOPCHG2013,NPOPCHG2014,NPOPCHG2015,NPOPCHG2016,NATURALINC2011,NATURALINC2012,NATURALINC2013,NATURALINC2014,NATURALINC2015,NATURALINC2016,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,INTERNATIONALMIG2014,INTERNATIONALMIG2015,INTERNATIONALMIG2016,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,DOMESTICMIG2014,DOMESTICMIG2015,DOMESTICMIG2016
34003,New Jersey,Bergen County,905116,913717,919694,925497,931196,936010,939151,8600,5977,5803,5699,4814,3141,3070,2117,1927,2368,2466,2162,6479,5155,5112,5616,5841,5733,-641,-1099,-434,-2212,-2748,-4630
34013,New Jersey,Essex County,783969,786958,787579,789953,793443,795039,796914,2955,621,2374,3490,1596,1875,5665,4665,4691,4635,4075,3827,6683,4948,4803,5323,5540,5488,-9613,-9015,-6431,-6710,-7213,-7674
34017,New Jersey,Hudson County,634266,647983,657113,664163,669604,673765,677983,13709,9130,7050,5441,4161,4218,7974,6606,6477,6529,6016,5894,11273,8917,8775,9688,10062,9931,-5666,-6256,-7567,-11321,-11210,-11970
34019,New Jersey,Hunterdon County,128349,127228,126492,126221,125762,125390,124676,-136,-736,-271,-459,-372,-714,157,111,-32,23,-7,-41,222,127,138,158,161,161,-596,-985,-354,-592,-466,-781
34023,New Jersey,Middlesex County,809858,817143,823670,828714,833724,836079,837073,7276,6527,5044,5010,2355,994,5430,4492,3921,3733,3587,3186,8622,6625,6571,7308,7620,7502,-6554,-4568,-5494,-5830,-8676,-9317
34025,New Jersey,Monmouth County,630380,629815,628782,628486,627771,626775,625846,-608,-1033,-296,-715,-996,-929,1091,1089,518,831,128,71,1487,958,923,1051,1124,1100,-2960,-3146,-1864,-2269,-2273,-1845
34027,New Jersey,Morris County,492276,495792,497310,498546,498376,498419,498423,3477,1518,1236,-170,43,4,1584,984,824,869,929,775,2549,1907,1928,2146,2249,2216,-477,-1333,-1423,-3075,-2787,-2823
34029,New Jersey,Ocean County,576567,579038,580682,582978,585881,588791,592497,2490,1644,2296,2903,2910,3706,1178,977,977,1208,1309,1251,642,534,534,625,654,630,954,233,658,1077,431,1967
34031,New Jersey,Passaic County,501226,504031,505101,506391,508185,508398,507945,2407,1070,1290,1794,213,-453,4485,3559,3224,3370,2986,2985,4145,3324,3181,3578,3723,3692,-6218,-5830,-4913,-5239,-6174,-7191
34035,New Jersey,Somerset County,323444,326716,328580,330962,332120,333015,333751,3288,1864,2382,1158,895,736,1875,1190,1143,1036,903,699,1966,1590,1593,1749,1828,1786,-764,-924,-463,-1479,-1870,-1569
34037,New Jersey,Sussex County,149265,148138,147033,145690,144841,143385,142522,-748,-1105,-1343,-849,-1456,-863,320,198,121,27,43,-5,198,114,105,120,124,123,-1225,-1455,-1548,-940,-1506,-888
34039,New Jersey,Union County,536499,540487,544465,548112,551024,552949,555630,4048,3978,3647,2912,1925,2681,3764,2854,2710,3091,2700,2602,4664,3391,3207,3520,3669,3636,-4595,-2151,-1702,-3787,-3901,-3597
36005,New York,Bronx County,1385108,1399990,1414774,1426550,1437687,1449196,1455720,14883,14784,11776,11137,11509,6524,16468,12789,12132,12128,11305,10785,19180,15423,14813,16643,17308,17198,-21175,-13389,-14171,-18051,-16181,-20956
36027,New York,Dutchess County,297488,298289,297213,296708,295903,295228,294473,841,-1076,-505,-805,-675,-755,676,294,343,234,242,49,1110,763,742,829,860,844,-809,-2154,-1685,-1762,-1851,-1469
36047,New York,Kings County,2504700,2543667,2572282,2595344,2612544,2624941,2629150,38961,28615,23062,17200,12397,4209,32691,26419,26484,25921,25074,23991,27129,20758,20244,22383,23318,22955,-21199,-17858,-21175,-32526,-33042,-43264
36059,New York,Nassau County,1339532,1346815,1350748,1354258,1357799,1359702,1361500,6949,3933,3510,3541,1903,1798,4509,3428,2384,3648,3374,2970,4782,4071,3918,4292,4472,4377,-1866,-3410,-2063,-4204,-4857,-5090
36061,New York,New York County,1585873,1609533,1625121,1630453,1634468,1641168,1643734,23659,15588,5332,4015,6700,2566,12363,9965,9118,8447,7684,6945,17435,15089,15122,16715,17422,17217,-6062,-9030,-16750,-22309,-16103,-21557
36071,New York,Orange County,372813,374358,374100,374956,375814,377130,379210,1531,-258,856,858,1316,2080,3070,2445,2041,2192,2307,2127,815,730,637,690,743,678,-2251,-3484,-1847,-1898,-1629,-520
36079,New York,Putnam County,99710,99958,99717,99678,99478,99265,98900,182,-241,-39,-200,-213,-365,295,211,116,148,175,119,189,165,148,158,163,161,-266,-619,-303,-512,-479,-624
36081,New York,Queens County,2230722,2259756,2278024,2297598,2314149,2327228,2333054,29211,18268,19574,16551,13079,5826,21169,16297,16423,16271,15074,14469,29704,23624,23229,25699,26697,26295,-21716,-21324,-17387,-26537,-25746,-35335
36085,New York,Richmond County,468730,471152,470978,472515,473142,473969,476015,2422,-174,1537,627,827,2046,2961,2213,1724,1835,1494,1304,1451,1244,1187,1314,1394,1356,-1900,-3684,-1139,-2324,-1824,-299
36087,New York,Rockland County,311687,315772,317763,320321,322855,325491,326780,4082,1991,2558,2534,2636,1289,3255,2661,2465,2906,3201,2888,1873,1369,1331,1460,1509,1492,-875,-2063,-1064,-1721,-1963,-3009
36103,New York,Suffolk County,1493350,1500259,1499382,1500776,1500008,1497903,1492583,7059,-877,1394,-768,-2105,-5320,6555,4599,3670,3906,3259,2653,5320,4091,3834,4209,4396,4327,-4212,-9774,-6015,-8312,-9772,-11278
36119,New York,Westchester County,949113,957052,961073,967377,970255,972900,974542,7982,4021,6304,2878,2645,1642,5229,3713,3312,3633,3539,3122,5723,4305,4138,4577,4810,4743,-2614,-3959,-503,-5537,-4815,-5930
42103,Pennsylvania,Pike County,57369,57529,56758,56598,56205,55927,55562,185,-771,-160,-393,-278,-365,13,-103,-89,-39,-60,-108,49,52,81,87,90,90,-96,-729,-128,-433,-295,-347
