STATEFIPS,STATE,COUNTYFIPS,COUNTYNAME,AGI_STUB,N1,MARS2,PREP,N2,NUMDEP,A00100,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00900,A00900,SCHF,N01000,A01000,N01400,A01400,N01700,A01700,N02300,A02300,N02500,A02500,N03300,A03300,N04470,A04470,N18425,A18425,N18450,A18450,N18500,A18500,N18300,A18300,N19300,A19300,N19700,A19700,N04800,A04800,N07100,A07100,N07220,A07220,N07180,A07180,N07260,A07260,N59660,A59660,N59720,A59720,N11070,A11070,N09600,A09600,N06500,A06500,N10300,A10300,N11901,A11901,N11902,A11902
01,AL,000,Alabama,0,2091218.0000,778752.0000,1253571.0000,4340121.0000,1589968.0000,100308257.00,1740617.0000,73819452.000,613319.0000,1234472.0000,276153.0000,1377991.0000,245570.0000,1010895.0000,346394.0000,2933028.0000,48733.0000,212509.0000,2332902.0000,161089.0000,2415698.0000,404829.0000,8606413.0000,149514.0000,714907.0000,249259.0000,2827751.0000,7097.0000,134294.0000,599369.0000,12769234.000,475821.0000,2058790.0000,104624.0000,145563.0000,494579.0000,636758.0000,595721.0000,3006384.0000,460387.0000,3812392.0000,517680.0000,2941658.0000,1487647.0000,65015332.000,664438.0000,819378.0000,348252.0000,403951.0000,97828.0000,51303.0000,60239.0000,20955.0000,550074.0000,1413578.0000,502046.0000,1268146.0000,397229.0000,529531.0000,25940.0000,137797.0000,1262374.0000,10984677.000,1414359.0000,11269687.000,298684.0000,1216196.0000,1699576.0000,5091418.0000
01,AL,001,Autauga County,0,24315.0000,10151.0000,11900.0000,51513.0000,18770.0000,1149657.0000,20830.0000,903517.0000,7289.0000,8125.0000,3086.0000,6940.0000,2742.0000,4612.0000,3440.0000,25228.0000,420.0000,2147.0000,7992.0000,1743.0000,21177.0000,5031.0000,121079.0000,1385.0000,7093.0000,2932.0000,33493.0000,40.0000,721.0000,7167.0000,133814.0000,5689.0000,20622.0000,1250.0000,1825.0000,6075.0000,4682.0000,7121.0000,28418.0000,5915.0000,49383.0000,6079.0000,28738.0000,18374.0000,732202.0000,8428.0000,10509.0000,4896.0000,6446.0000,1337.0000,734.0000,590.0000,168.0000,5587.0000,14050.0000,5089.0000,12722.0000,3948.0000,4974.0000,144.0000,510.0000,15958.0000,107396.0000,17335.0000,112969.0000,3530.0000,11318.0000,20011.0000,56866.0000
01,AL,003,Baldwin County,0,87236.0000,37748.0000,46875.0000,175844.0000,55954.0000,4556224.0000,68542.0000,3107119.0000,30310.0000,67434.0000,16368.0000,87411.0000,14548.0000,60332.0000,15992.0000,172379.0000,1188.0000,13680.0000,147337.0000,9841.0000,167777.0000,19808.0000,462958.0000,5350.0000,27333.0000,14265.0000,173014.0000,385.0000,6600.0000,27440.0000,616433.0000,20241.0000,93223.0000,6309.0000,9988.0000,22796.0000,28972.0000,27256.0000,137963.0000,21172.0000,204268.0000,22633.0000,107428.0000,64121.0000,3102762.0000,26093.0000,33627.0000,14098.0000,17391.0000,4000.0000,1986.0000,2097.0000,806.0000,17308.0000,40809.0000,15271.0000,35832.0000,12552.0000,16256.0000,1423.0000,7144.0000,56650.0000,528715.0000,62594.0000,562341.0000,17500.0000,82124.0000,63658.0000,173706.0000
01,AL,005,Barbour County,0,10648.0000,3322.0000,7410.0000,22062.0000,8680.0000,355824.0000,8735.0000,279766.0000,2765.0000,6774.0000,1190.0000,5860.0000,1104.0000,4677.0000,1597.0000,8609.0000,444.0000,978.0000,9364.0000,692.0000,8989.0000,1811.0000,36437.0000,736.0000,3382.0000,1231.0000,13411.0000,21.0000,401.0000,2250.0000,43331.0000,1641.0000,7254.0000,499.0000,1507.0000,1757.0000,1791.0000,2227.0000,11129.0000,1493.0000,11106.0000,1907.0000,9558.0000,6892.0000,208827.0000,3068.0000,2815.0000,1704.0000,1618.0000,371.0000,186.0000,227.0000,88.0000,3771.0000,10059.0000,3483.0000,9149.0000,2757.0000,3480.0000,41.0000,336.0000,5442.0000,29480.0000,6282.0000,31784.0000,1183.0000,3944.0000,8999.0000,28792.0000
01,AL,007,Bibb County,0,8049.0000,3493.0000,5019.0000,17756.0000,6554.0000,331373.0000,6897.0000,262943.0000,1991.0000,2796.0000,626.0000,1305.0000,509.0000,773.0000,1210.0000,8719.0000,217.0000,493.0000,2726.0000,511.0000,6445.0000,1421.0000,24866.0000,640.0000,2744.0000,907.0000,9375.0000,0.0001,0.0001,1792.0000,39539.0000,1476.0000,5239.0000,260.0000,309.0000,1426.0000,805.0000,1783.0000,6712.0000,1354.0000,9024.0000,1554.0000,7676.0000,5587.0000,192542.0000,2478.0000,2874.0000,1601.0000,2009.0000,335.0000,154.0000,194.0000,57.0000,2334.0000,6085.0000,2132.0000,5522.0000,1604.0000,2009.0000,29.0000,124.0000,4792.0000,26998.0000,5355.0000,28678.0000,929.0000,3220.0000,6800.0000,21033.0000
01,AL,009,Blount County,0,22330.0000,11600.0000,15203.0000,50549.0000,17771.0000,976176.0000,18623.0000,754156.0000,6584.0000,10476.0000,2087.0000,6939.0000,1824.0000,5232.0000,3808.0000,30841.0000,1187.0000,1596.0000,12111.0000,1772.0000,21361.0000,4309.0000,76576.0000,1878.0000,8720.0000,2810.0000,29089.0000,34.0000,313.0000,5836.0000,110767.0000,4743.0000,17796.0000,972.0000,1184.0000,4930.0000,4065.0000,5815.0000,24273.0000,4636.0000,35302.0000,4864.0000,21535.0000,16089.0000,587581.0000,7316.0000,8698.0000,4780.0000,6015.0000,880.0000,438.0000,675.0000,204.0000,5226.0000,12338.0000,4598.0000,10586.0000,4096.0000,5611.0000,125.0000,602.0000,13904.0000,84700.0000,15805.0000,90658.0000,3011.0000,10300.0000,18333.0000,50633.0000
01,AL,011,Bullock County,0,3952.0000,685.0000,2608.0000,8139.0000,3691.0000,112521.0000,3365.0000,89872.0000,655.0000,1730.0000,298.0000,1265.0000,268.0000,848.0000,543.0000,3030.0000,199.0000,237.0000,1932.0000,145.0000,2473.0000,525.0000,9757.0000,346.0000,1916.0000,333.0000,2967.0000,0.0001,0.0001,653.0000,11314.0000,499.0000,1467.0000,125.0000,144.0000,474.0000,406.0000,648.0000,2181.0000,396.0000,2288.0000,587.0000,2913.0000,2543.0000,56713.0000,1265.0000,1117.0000,650.0000,564.0000,170.0000,97.0000,48.0000,13.0000,1657.0000,4687.0000,1568.0000,4348.0000,1256.0000,1551.0000,20.0000,159.0000,1823.0000,7380.0000,2093.0000,8057.0000,366.0000,1131.0000,3439.0000,11500.0000
01,AL,013,Butler County,0,8690.0000,2661.0000,5983.0000,17753.0000,6928.0000,315486.0000,7357.0000,228464.0000,1811.0000,3273.0000,721.0000,3627.0000,633.0000,2543.0000,1369.0000,11089.0000,435.0000,625.0000,8304.0000,533.0000,6395.0000,1515.0000,25099.0000,894.0000,3480.0000,899.0000,9200.0000,0.0001,0.0001,1430.0000,28212.0000,1070.0000,4704.0000,320.0000,434.0000,1067.0000,929.0000,1422.0000,6346.0000,970.0000,6620.0000,1159.0000,6846.0000,5814.0000,185216.0000,2618.0000,2658.0000,1498.0000,1493.0000,337.0000,141.0000,169.0000,56.0000,3195.0000,8952.0000,2991.0000,8211.0000,2157.0000,2556.0000,44.0000,167.0000,4714.0000,28581.0000,5393.0000,30624.0000,1045.0000,2963.0000,7268.0000,22758.0000
01,AL,015,Calhoun County,0,48971.0000,19736.0000,30332.0000,101952.0000,35586.0000,2056246.0000,40057.0000,1521979.0000,14864.0000,19834.0000,5732.0000,22365.0000,5077.0000,15807.0000,6898.0000,58141.0000,784.0000,4002.0000,16912.0000,3610.0000,40169.0000,11443.0000,241200.0000,3698.0000,16769.0000,6586.0000,64913.0000,93.0000,1723.0000,12030.0000,232919.0000,9191.0000,31818.0000,2443.0000,3133.0000,9756.0000,9012.0000,11951.0000,47035.0000,9072.0000,63333.0000,10512.0000,55961.0000,34864.0000,1241992.0000,15143.0000,16348.0000,8391.0000,9870.0000,2036.0000,999.0000,1558.0000,464.0000,12828.0000,30469.0000,11601.0000,27482.0000,8987.0000,11675.0000,309.0000,1354.0000,29998.0000,182854.0000,33040.0000,194016.0000,5972.0000,19594.0000,41031.0000,115244.0000
01,AL,017,Chambers County,0,15398.0000,4227.0000,11028.0000,32139.0000,13287.0000,491040.0000,13334.0000,413834.0000,3078.0000,5006.0000,1262.0000,4866.0000,1152.0000,3653.0000,2953.0000,-9495.0000,286.0000,907.0000,6273.0000,953.0000,11606.0000,2627.0000,38805.0000,1307.0000,6575.0000,1445.0000,14146.0000,0.0001,0.0001,3254.0000,56502.0000,2617.0000,8008.0000,545.0000,595.0000,2452.0000,2048.0000,3216.0000,11523.0000,2297.0000,14045.0000,2834.0000,14252.0000,10341.0000,261976.0000,5299.0000,4878.0000,2370.0000,2215.0000,817.0000,489.0000,489.0000,152.0000,5715.0000,15095.0000,5344.0000,13939.0000,3806.0000,4998.0000,60.0000,329.0000,7738.0000,33861.0000,8892.0000,36108.0000,1540.0000,3790.0000,13307.0000,42052.0000
