STATEFIPS,STATE,COUNTYFIPS,COUNTYNAME,AGI_STUB,N1,MARS1,MARS2,MARS4,PREP,N2,NUMDEP,A00100,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00900,A00900,SCHF,N01000,A01000,N01400,A01400,N01700,A01700,N02300,A02300,N02500,A02500,N03300,A03300,N04470,A00101,A04470,N18425,A18425,N18450,A18450,N18500,A18500,N18300,A18300,N19300,A19300,N19700,A19700,N04800,A04800,N09600,A09600,N07100,A07100,N07180,A07180,N07220,A07220,N07260,A07260,N59660,A59660,N59720,A59720,N11070,A11070,N06500,A06500,N10300,A10300,N11901,A11901,N11902,A11902
01,AL,000,Alabama,0,2050090.0000,810190.0000,774210.0000,427560.0000,1238940.0000,4241420.0000,1535340.0000,104129915.00,1716600.0000,75281821.000,560890.0000,996850.0000,276830.0000,1733897.0000,247730.0000,1347830.0000,337840.0000,3018562.0000,46930.0000,216800.0000,3587580.0000,163370.0000,2536921.0000,416530.0000,9019145.0000,127030.0000,500843.0000,261270.0000,3110766.0000,6860.0000,134950.0000,581300.0000,62386864.000,12568349.000,460600.0000,2124557.0000,99330.0000,139306.0000,473110.0000,614945.0000,574510.0000,3056384.0000,436640.0000,3471625.0000,502050.0000,3039256.0000,1469630.0000,68597241.000,25280.0000,136128.0000,620410.0000,837113.0000,98270.0000,51870.0000,346650.0000,400518.0000,34150.0000,13001.0000,537300.0000,1417546.0000,488680.0000,1275498.0000,381510.0000,505877.0000,1268390.0000,11586119.000,1413690.0000,12209093.000,310220.0000,1418852.0000,1651260.0000,4838708.0000
01,AL,001,Autauga County,0,23700.0000,8800.0000,10100.0000,4310.0000,11820.0000,50580.0000,18370.0000,1206063.0000,20310.0000,913638.0000,7090.0000,7153.0000,3200.0000,8099.0000,2830.0000,5798.0000,3330.0000,22301.0000,400.0000,2340.0000,37005.0000,1790.0000,23016.0000,5410.0000,129498.0000,1250.0000,5278.0000,3090.0000,37258.0000,50.0000,828.0000,6840.0000,647822.0000,130654.0000,5390.0000,20716.0000,1240.0000,1952.0000,5760.0000,4496.0000,6780.0000,28491.0000,5550.0000,44415.0000,5830.0000,29536.0000,17810.0000,778737.0000,150.0000,582.0000,7910.0000,9870.0000,1390.0000,755.0000,4930.0000,6429.0000,340.0000,105.0000,5440.0000,13813.0000,4940.0000,12544.0000,3900.0000,4922.0000,15610.0000,116291.0000,16960.0000,121963.0000,3510.0000,11151.0000,19460.0000,54297.0000
01,AL,003,Baldwin County,0,88490.0000,35520.0000,38380.0000,12620.0000,47190.0000,177290.0000,55770.0000,4899665.0000,69690.0000,3252973.0000,27940.0000,55549.0000,16800.0000,101760.0000,14990.0000,75656.0000,16150.0000,178028.0000,1200.0000,14410.0000,250614.0000,10260.0000,177059.0000,20660.0000,488452.0000,4500.0000,19706.0000,15120.0000,191665.0000,460.0000,7980.0000,27040.0000,3050674.0000,606077.0000,20060.0000,98307.0000,6130.0000,9083.0000,22170.0000,28169.0000,26830.0000,143288.0000,20480.0000,186202.0000,22480.0000,113195.0000,65390.0000,3398744.0000,1510.0000,7980.0000,25590.0000,32423.0000,4090.0000,1988.0000,14140.0000,17364.0000,1330.0000,549.0000,17780.0000,43075.0000,15630.0000,37963.0000,12360.0000,15931.0000,58160.0000,587167.0000,64080.0000,621440.0000,17630.0000,92499.0000,64920.0000,175887.0000
01,AL,005,Barbour County,0,10050.0000,3630.0000,3280.0000,2990.0000,7320.0000,21110.0000,8230.0000,371840.0000,8330.0000,273242.0000,2580.0000,4016.0000,1140.0000,5641.0000,1060.0000,4569.0000,1630.0000,11472.0000,450.0000,910.0000,10034.0000,720.0000,10362.0000,1900.0000,37073.0000,690.0000,3364.0000,1290.0000,14787.0000,20.0000,430.0000,2120.0000,173162.0000,40966.0000,1510.0000,5205.0000,530.0000,1182.0000,1690.0000,1656.0000,2080.0000,8723.0000,1430.0000,10103.0000,1820.0000,9738.0000,6430.0000,212157.0000,40.0000,270.0000,2690.0000,2454.0000,370.0000,179.0000,1590.0000,1547.0000,110.0000,30.0000,3560.0000,9638.0000,3280.0000,8750.0000,2610.0000,3354.0000,5260.0000,31173.0000,6090.0000,33556.0000,1180.0000,4628.0000,8390.0000,25548.0000
01,AL,007,Bibb County,0,7900.0000,2680.0000,3430.0000,1650.0000,4990.0000,17450.0000,6450.0000,344287.0000,6790.0000,273744.0000,1940.0000,2004.0000,590.0000,1293.0000,480.0000,920.0000,1160.0000,8722.0000,200.0000,470.0000,3945.0000,510.0000,6175.0000,1380.0000,25295.0000,540.0000,1893.0000,970.0000,10056.0000,0.0000,0.0000,1720.0000,148838.0000,31820.0000,1450.0000,4954.0000,230.0000,304.0000,1330.0000,772.0000,1710.0000,6494.0000,1300.0000,8289.0000,1500.0000,7662.0000,5680.0000,208835.0000,30.0000,148.0000,2420.0000,2783.0000,350.0000,147.0000,1650.0000,2021.0000,130.0000,59.0000,2250.0000,6022.0000,2060.0000,5492.0000,1550.0000,1987.0000,4910.0000,28396.0000,5410.0000,30233.0000,1000.0000,4104.0000,6620.0000,19610.0000
01,AL,009,Blount County,0,22040.0000,7340.0000,11510.0000,2790.0000,14890.0000,49960.0000,17550.0000,997665.0000,18320.0000,766493.0000,5900.0000,8001.0000,2090.0000,8360.0000,1840.0000,6774.0000,3730.0000,35436.0000,1160.0000,1630.0000,12486.0000,1790.0000,21285.0000,4460.0000,82526.0000,1410.0000,5587.0000,2960.0000,31955.0000,30.0000,341.0000,5490.0000,473711.0000,103503.0000,4440.0000,16658.0000,870.0000,1016.0000,4570.0000,3682.0000,5470.0000,22625.0000,4310.0000,31239.0000,4550.0000,20645.0000,16080.0000,607547.0000,110.0000,591.0000,7010.0000,8525.0000,860.0000,427.0000,4670.0000,5959.0000,360.0000,125.0000,5150.0000,12520.0000,4500.0000,10796.0000,3940.0000,5461.0000,13980.0000,87636.0000,15780.0000,94037.0000,3160.0000,11304.0000,17960.0000,50019.0000
01,AL,011,Bullock County,0,3790.0000,1410.0000,680.0000,1650.0000,2500.0000,7760.0000,3460.0000,114401.0000,3260.0000,89025.0000,590.0000,1146.0000,280.0000,1527.0000,250.0000,1172.0000,580.0000,3870.0000,200.0000,230.0000,1503.0000,140.0000,2172.0000,620.0000,10353.0000,330.0000,1637.0000,330.0000,3226.0000,0.0000,0.0000,670.0000,44976.0000,11617.0000,510.0000,1463.0000,130.0000,174.0000,470.0000,422.0000,660.0000,2257.0000,400.0000,2456.0000,590.0000,2842.0000,2380.0000,58464.0000,20.0000,92.0000,1110.0000,900.0000,160.0000,89.0000,600.0000,503.0000,40.0000,11.0000,1630.0000,4653.0000,1530.0000,4320.0000,1180.0000,1475.0000,1800.0000,8167.0000,2110.0000,8953.0000,400.0000,1611.0000,3250.0000,10294.0000
01,AL,013,Butler County,0,8440.0000,3110.0000,2650.0000,2590.0000,5880.0000,17290.0000,6630.0000,368153.0000,7170.0000,227429.0000,1730.0000,2669.0000,730.0000,5053.0000,640.0000,2483.0000,1250.0000,12777.0000,420.0000,610.0000,40599.0000,520.0000,6491.0000,1560.0000,27077.0000,900.0000,3482.0000,960.0000,10396.0000,0.0000,0.0000,1410.0000,175289.0000,35589.0000,1030.0000,7345.0000,330.0000,369.0000,1050.0000,961.0000,1400.0000,8965.0000,920.0000,5967.0000,1150.0000,7352.0000,5630.0000,227360.0000,40.0000,408.0000,2420.0000,2599.0000,370.0000,155.0000,1520.0000,1562.0000,100.0000,35.0000,3100.0000,8526.0000,2870.0000,7831.0000,1990.0000,2337.0000,4640.0000,36670.0000,5310.0000,38911.0000,1070.0000,3228.0000,7010.0000,21095.0000
01,AL,015,Calhoun County,0,48180.0000,18520.0000,19410.0000,9470.0000,29480.0000,99680.0000,34500.0000,2156505.0000,39500.0000,1512464.0000,13290.0000,16054.0000,5650.0000,28156.0000,5020.0000,17882.0000,6890.0000,64654.0000,760.0000,3970.0000,44816.0000,3510.0000,41479.0000,11790.0000,261882.0000,3290.0000,12664.0000,6700.0000,69687.0000,100.0000,1539.0000,11390.0000,1050110.0000,227920.0000,8640.0000,34838.0000,2370.0000,3295.0000,9100.0000,8613.0000,11250.0000,49741.0000,8440.0000,57198.0000,9930.0000,57759.0000,34380.0000,1333406.0000,310.0000,1803.0000,14310.0000,15510.0000,1980.0000,1000.0000,8380.0000,9839.0000,900.0000,296.0000,12510.0000,30318.0000,11310.0000,27368.0000,8700.0000,11247.0000,29850.0000,204479.0000,32940.0000,216195.0000,5970.0000,22763.0000,40340.0000,111496.0000
01,AL,017,Chambers County,0,15050.0000,6220.0000,4170.0000,4500.0000,11370.0000,30610.0000,12170.0000,513952.0000,13240.0000,420974.0000,2780.0000,3988.0000,1280.0000,5749.0000,1150.0000,4274.0000,2780.0000,773.0000,280.0000,950.0000,8345.0000,920.0000,10927.0000,2650.0000,38514.0000,1320.0000,4585.0000,1500.0000,15311.0000,0.0000,0.0000,3300.0000,216053.0000,59824.0000,2670.0000,7928.0000,490.0000,546.0000,2350.0000,1955.0000,3220.0000,11355.0000,2160.0000,12508.0000,2950.0000,15884.0000,10040.0000,272727.0000,60.0000,253.0000,4680.0000,4254.0000,830.0000,481.0000,2340.0000,2227.0000,240.0000,91.0000,5560.0000,15186.0000,5170.0000,14085.0000,3590.0000,4641.0000,7860.0000,36455.0000,8950.0000,39030.0000,1680.0000,5018.0000,12900.0000,39459.0000
