,cbsa_name,cbsa_code,inflow2011_12,outflow2011_12,net_flow2011_12,inflow2012_13,outflow2012_13,net_flow2012_13,inflow2013_14,outflow2013_14,net_flow2013_14,inflow2014_15,outflow2014_15,net_flow2014_15,in_rank2011_12,ou_rank2011_12,in_rank2012_13,ou_rank2012_13,in_rank2013_14,ou_rank2013_14,in_rank2014_15,ou_rank2014_15,tot_inflow,tot_outflow,tot_net_flow,net_change12_13,net_change13_14,net_change14_15
0,"Akron, OH",10420,88,97,-9,134,106,28,60,36,24,67,0,67,121.0,133.0,111.0,132.0,111.0,128.0,95.0,125.0,349,239,110,37,-4,43
1,"Albany, GA",10500,24,0,24,0,0,0,0,0,0,0,0,0,155.0,187.0,179.0,194.0,130.0,135.0,118.0,125.0,24,0,24,-24,0,0
2,"Albany-Schenectady-Troy, NY",10580,2402,3826,-1424,2472,3998,-1526,1882,3236,-1354,1543,2626,-1083,20.0,18.0,19.0,19.0,21.0,23.0,21.0,22.0,8299,13686,-5387,-102,172,271
3,"Albuquerque, NM",10740,149,132,17,104,157,-53,107,79,28,67,0,67,106.0,128.0,119.0,122.0,94.0,116.0,95.0,125.0,427,368,59,-70,81,39
4,"Allentown-Bethlehem-Easton, PA-NJ",10900,6393,8676,-2283,5629,8032,-2403,4065,7727,-3662,3288,6069,-2781,8.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0,19375,30504,-11129,-120,-1259,881
5,"Amsterdam, NY",11220,27,46,-19,0,30,-30,0,0,0,0,0,0,153.0,156.0,179.0,177.0,130.0,135.0,118.0,125.0,27,76,-49,-11,30,0
6,"Anchorage, AK",11260,147,136,11,103,87,16,0,35,-35,0,0,0,107.0,127.0,120.0,137.0,130.0,129.0,118.0,125.0,250,258,-8,5,-51,35
7,"Ann Arbor, MI",11460,383,316,67,331,369,-38,232,178,54,146,122,24,76.0,103.0,78.0,100.0,70.0,99.0,73.0,94.0,1092,985,107,-105,92,-30
8,"Asheville, NC",11700,44,137,-93,66,203,-137,50,94,-44,32,64,-32,140.0,126.0,137.0,113.0,116.0,111.0,108.0,108.0,192,498,-306,-44,93,12
9,"Athens, OH",11900,0,0,0,13,0,13,0,0,0,0,0,0,169.0,187.0,176.0,194.0,130.0,135.0,118.0,125.0,13,0,13,13,-13,0
10,"Athens-Clarke County, GA",12020,16,36,-20,56,33,23,0,0,0,0,0,0,163.0,165.0,144.0,174.0,130.0,135.0,118.0,125.0,72,69,3,43,-23,0
11,"Atlanta-Sandy Springs-Roswell, GA",12060,6604,9968,-3364,6293,10141,-3848,4141,8685,-4544,2615,6628,-4013,7.0,6.0,7.0,6.0,9.0,7.0,14.0,7.0,19653,35422,-15769,-484,-696,531
12,"Atlantic City-Hammonton, NJ",12100,1395,1555,-160,1337,1540,-203,1256,1032,224,920,718,202,32.0,40.0,34.0,42.0,27.0,47.0,27.0,47.0,4908,4845,63,-43,427,-22
13,"Auburn, NY",12180,14,0,14,0,11,-11,0,0,0,0,0,0,165.0,187.0,179.0,192.0,130.0,135.0,118.0,125.0,14,11,3,-25,11,0
14,"Auburn-Opelika, AL",12220,18,0,18,0,0,0,0,0,0,0,0,0,161.0,187.0,179.0,194.0,130.0,135.0,118.0,125.0,18,0,18,-18,0,0
15,"Augusta-Richmond County, GA-SC",12260,81,144,-63,86,132,-46,0,0,0,0,0,0,125.0,124.0,126.0,125.0,130.0,135.0,118.0,125.0,167,276,-109,17,46,0
16,"Augusta-Waterville, ME",12300,20,0,20,0,0,0,0,0,0,0,0,0,159.0,187.0,179.0,194.0,130.0,135.0,118.0,125.0,20,0,20,-20,0,0
17,"Austin-Round Rock, TX",12420,1006,3721,-2715,1784,7474,-5690,2530,7479,-4949,5231,6245,-1014,41.0,19.0,26.0,11.0,15.0,10.0,6.0,8.0,10551,24919,-14368,-2975,741,3935
18,"Bakersfield, CA",12540,41,37,4,32,77,-45,0,0,0,0,0,0,143.0,164.0,157.0,141.0,130.0,135.0,118.0,125.0,73,114,-41,-49,45,0
