,co_fips,co_name,state,inflow2011_12,outflow2011_12,cbsa_code,cbsa_name,net_flow2011_12,inflow2012_13,outflow2012_13,net_flow2012_13,inflow2013_14,outflow2013_14,net_flow2013_14,inflow2014_15,outflow2014_15,net_flow2014_15,in_rank2011_12,ou_rank2011_12,in_rank2012_13,ou_rank2012_13,in_rank2013_14,ou_rank2013_14,in_rank2014_15,ou_rank2014_15,tot_inflow,tot_outflow,tot_net_flow,net_change12_13,net_change13_14,net_change14_15
0,36059,Nassau County,NY,13995,22803,35620,"New York-Newark-Jersey City, NY-NJ-PA",-8808,14458,24494,-10036,13877,25204,-11327,11900,20316,-8416,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,54230,92817,-38587,-1228,-1291,2911
1,59000,Other flows - Different State,DS,13850,16808,,,-2958,14062,17381,-3319,21728,25405,-3677,19743,23807,-4064,2.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,69383,83401,-14018,-361,-358,-387
2,36119,Westchester County,NY,11588,16967,35620,"New York-Newark-Jersey City, NY-NJ-PA",-5379,10806,18414,-7608,10438,17173,-6735,9048,13986,-4938,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,41880,66540,-24660,-2229,873,1797
3,36103,Suffolk County,NY,8838,9785,35620,"New York-Newark-Jersey City, NY-NJ-PA",-947,7493,9636,-2143,7056,9271,-2215,5837,8171,-2334,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,29224,36863,-7639,-1196,-72,-119
4,34017,Hudson County,NJ,6308,8761,35620,"New York-Newark-Jersey City, NY-NJ-PA",-2453,6270,9141,-2871,5729,8818,-3089,4709,7273,-2564,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,23016,33993,-10977,-418,-218,525
5,34003,Bergen County,NJ,5393,7687,35620,"New York-Newark-Jersey City, NY-NJ-PA",-2294,4436,7977,-3541,4315,7124,-2809,3860,5816,-1956,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,18004,28604,-10600,-1247,732,853
6,06037,Los Angeles County,CA,4297,5821,31080,"Los Angeles-Long Beach-Anaheim, CA",-1524,4265,7374,-3109,4231,6395,-2164,3465,5365,-1900,7.0,8.0,7.0,7.0,7.0,7.0,7.0,8.0,16258,24955,-8697,-1585,945,264
7,12086,Miami-Dade County,FL,3755,4381,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",-626,3862,3771,91,2571,3483,-912,2062,3033,-971,8.0,12.0,8.0,13.0,11.0,14.0,13.0,13.0,12250,14668,-2418,717,-1003,-59
8,34013,Essex County,NJ,3536,5180,35620,"New York-Newark-Jersey City, NY-NJ-PA",-1644,3114,5536,-2422,2996,5819,-2823,2861,4791,-1930,9.0,10.0,10.0,10.0,9.0,9.0,11.0,9.0,12507,21326,-8819,-778,-401,893
9,09001,Fairfield County,CT,3412,5422,14860,"Bridgeport-Stamford-Norwalk, CT",-2010,3473,5834,-2361,3546,5566,-2020,2966,4283,-1317,10.0,9.0,9.0,9.0,8.0,10.0,9.0,10.0,13397,21105,-7708,-351,341,703
10,34023,Middlesex County,NJ,3297,4411,35620,"New York-Newark-Jersey City, NY-NJ-PA",-1114,2435,4257,-1822,2413,4229,-1816,2080,3086,-1006,11.0,11.0,15.0,12.0,14.0,12.0,12.0,12.0,10225,15983,-5758,-708,6,810
12,42101,Philadelphia County,PA,2937,3813,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",-876,2747,3289,-542,2441,3071,-630,1954,2748,-794,13.0,14.0,13.0,15.0,13.0,16.0,15.0,16.0,10079,12921,-2842,334,-88,-164
14,17031,Cook County,IL,2704,2937,16980,"Chicago-Naperville-Elgin, IL-IN-WI",-233,2734,3071,-337,2454,2558,-104,1987,1940,47,15.0,16.0,14.0,17.0,12.0,22.0,14.0,22.0,9879,10506,-627,-104,233,151
15,12011,Broward County,FL,2667,3941,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",-1274,2852,3627,-775,2222,3525,-1303,1833,2938,-1105,16.0,13.0,12.0,14.0,15.0,13.0,16.0,14.0,9574,14031,-4457,499,-528,198
